SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-27 12:18:41.979929,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-64
1,DC:A6:32:33:B0:C2,2020-06-27 12:18:42.040628,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
2,DC:A6:32:33:B0:C2,2020-06-27 12:18:43.688670,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
3,DC:A6:32:33:B0:C2,2020-06-27 12:18:45.693802,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-61
4,DC:A6:32:33:B0:C2,2020-06-27 12:18:47.077463,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
5,DC:A6:32:33:B0:C2,2020-06-27 12:18:49.082555,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
6,DC:A6:32:33:B0:C2,2020-06-27 12:18:51.087433,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
7,DC:A6:32:33:B0:C2,2020-06-27 12:18:53.092641,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
8,DC:A6:32:33:B0:C2,2020-06-27 12:18:55.097638,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
9,DC:A6:32:33:B0:C2,2020-06-27 12:18:57.102027,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-70
10,DC:A6:32:33:B0:C2,2020-06-27 12:18:59.107731,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
11,DC:A6:32:33:B0:C2,2020-06-27 12:19:01.112147,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
12,DC:A6:32:33:B0:C2,2020-06-27 12:19:03.117703,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-72
13,DC:A6:32:33:B0:C2,2020-06-27 12:19:05.122845,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
14,DC:A6:32:33:B0:C2,2020-06-27 12:19:06.655265,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
15,DC:A6:32:33:B0:C2,2020-06-27 12:19:08.044110,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
16,DC:A6:32:33:B0:C2,2020-06-27 12:19:10.049156,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
17,DC:A6:32:33:B0:C2,2020-06-27 12:19:12.054154,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
18,DC:A6:32:33:B0:C2,2020-06-27 12:19:14.059229,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
19,DC:A6:32:33:B0:C2,2020-06-27 12:19:16.064139,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
20,DC:A6:32:33:B0:C2,2020-06-27 12:19:17.171795,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
21,DC:A6:32:33:B0:C2,2020-06-27 12:19:19.176699,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-61
22,DC:A6:32:33:B0:C2,2020-06-27 12:19:21.181772,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
23,DC:A6:32:33:B0:C2,2020-06-27 12:19:22.804424,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
24,DC:A6:32:33:B0:C2,2020-06-27 12:19:24.809326,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
25,DC:A6:32:33:B0:C2,2020-06-27 12:19:26.814489,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
26,DC:A6:32:33:B0:C2,2020-06-27 12:19:27.014254,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-65
27,DC:A6:32:33:B0:C2,2020-06-27 12:19:29.019547,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
28,DC:A6:32:33:B0:C2,2020-06-27 12:19:31.024483,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-65
29,DC:A6:32:33:B0:C2,2020-06-27 12:19:33.029611,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
30,DC:A6:32:33:B0:C2,2020-06-27 12:19:34.076968,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
31,DC:A6:32:33:B0:C2,2020-06-27 12:19:36.082221,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
32,DC:A6:32:33:B0:C2,2020-06-27 12:19:38.087189,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
33,DC:A6:32:33:B0:C2,2020-06-27 12:19:40.092124,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
34,DC:A6:32:33:B0:C2,2020-06-27 12:19:42.097259,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
35,DC:A6:32:33:B0:C2,2020-06-27 12:19:44.102354,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
36,DC:A6:32:33:B0:C2,2020-06-27 12:19:46.107258,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
37,DC:A6:32:33:B0:C2,2020-06-27 12:19:48.112435,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
38,DC:A6:32:33:B0:C2,2020-06-27 12:19:50.005962,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
39,DC:A6:32:33:B0:C2,2020-06-27 12:19:52.011136,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-65
40,DC:A6:32:33:B0:C2,2020-06-27 12:19:53.959345,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
41,DC:A6:32:33:B0:C2,2020-06-27 12:19:54.032298,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
42,DC:A6:32:33:B0:C2,2020-06-27 12:19:56.037526,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
43,DC:A6:32:33:B0:C2,2020-06-27 12:19:58.042524,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-67
44,DC:A6:32:33:B0:C2,2020-06-27 12:20:00.047606,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
45,DC:A6:32:33:B0:C2,2020-06-27 12:20:01.408761,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
46,DC:A6:32:33:B0:C2,2020-06-27 12:20:03.413922,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-70
47,DC:A6:32:33:B0:C2,2020-06-27 12:20:05.418975,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
48,DC:A6:32:33:B0:C2,2020-06-27 12:20:06.410127,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
49,DC:A6:32:33:B0:C2,2020-06-27 12:20:07.011308,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
50,DC:A6:32:33:B0:C2,2020-06-27 12:20:09.016521,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-66
51,DC:A6:32:33:B0:C2,2020-06-27 12:20:11.021561,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
52,DC:A6:32:33:B0:C2,2020-06-27 12:20:13.026517,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-63
53,DC:A6:32:33:B0:C2,2020-06-27 12:20:14.519127,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-62
54,DC:A6:32:33:B0:C2,2020-06-27 12:20:16.524031,dc233c4c-b891-11ea-8159-dca63233b0c1,1,1,1,-71
