SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-27 13:22:43.736814,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-69
1,DC:A6:32:33:B0:C2,2020-06-27 13:22:45.731568,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-68
2,DC:A6:32:33:B0:C2,2020-06-27 13:22:46.819768,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-76
3,DC:A6:32:33:B0:C2,2020-06-27 13:22:48.448153,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-71
4,DC:A6:32:33:B0:C2,2020-06-27 13:22:50.453599,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-74
5,DC:A6:32:33:B0:C2,2020-06-27 13:22:51.160977,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
6,DC:A6:32:33:B0:C2,2020-06-27 13:22:52.439130,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
7,DC:A6:32:33:B0:C2,2020-06-27 13:22:54.444867,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-71
8,DC:A6:32:33:B0:C2,2020-06-27 13:22:55.025763,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
9,DC:A6:32:33:B0:C2,2020-06-27 13:22:56.057902,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-73
10,DC:A6:32:33:B0:C2,2020-06-27 13:22:58.063653,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-69
11,DC:A6:32:33:B0:C2,2020-06-27 13:23:00.069246,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
12,DC:A6:32:33:B0:C2,2020-06-27 13:23:02.074700,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-75
13,DC:A6:32:33:B0:C2,2020-06-27 13:23:04.078546,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
14,DC:A6:32:33:B0:C2,2020-06-27 13:23:06.083510,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-75
15,DC:A6:32:33:B0:C2,2020-06-27 13:23:08.088972,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-76
16,DC:A6:32:33:B0:C2,2020-06-27 13:23:10.094641,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
17,DC:A6:32:33:B0:C2,2020-06-27 13:23:11.235373,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
18,DC:A6:32:33:B0:C2,2020-06-27 13:23:13.239844,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-70
19,DC:A6:32:33:B0:C2,2020-06-27 13:23:14.539323,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-73
20,DC:A6:32:33:B0:C2,2020-06-27 13:23:16.441305,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-73
21,DC:A6:32:33:B0:C2,2020-06-27 13:23:17.259603,ce51e36c-b89a-11ea-a890-dca63233b0c1,1,1,1,-72
