SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-01 11:17:46.444753,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-63
1,DC:A6:32:33:B0:C2,2020-07-01 11:17:47.036122,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
2,DC:A6:32:33:B0:C2,2020-07-01 11:17:48.065307,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-62
3,DC:A6:32:33:B0:C2,2020-07-01 11:17:50.070398,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
4,DC:A6:32:33:B0:C2,2020-07-01 11:17:51.031585,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-59
5,DC:A6:32:33:B0:C2,2020-07-01 11:17:52.391677,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-61
6,DC:A6:32:33:B0:C2,2020-07-01 11:17:53.430300,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
7,DC:A6:32:33:B0:C2,2020-07-01 11:17:54.100201,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
8,DC:A6:32:33:B0:C2,2020-07-01 11:17:55.226692,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-67
9,DC:A6:32:33:B0:C2,2020-07-01 11:17:56.180995,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-07-01 11:17:57.251584,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
11,DC:A6:32:33:B0:C2,2020-07-01 11:17:58.006594,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-62
12,DC:A6:32:33:B0:C2,2020-07-01 11:17:59.530359,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-61
13,DC:A6:32:33:B0:C2,2020-07-01 11:18:00.338476,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
14,DC:A6:32:33:B0:C2,2020-07-01 11:18:01.282962,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
15,DC:A6:32:33:B0:C2,2020-07-01 11:18:03.286855,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
16,DC:A6:32:33:B0:C2,2020-07-01 11:18:04.335541,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
17,DC:A6:32:33:B0:C2,2020-07-01 11:18:05.294141,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-62
18,DC:A6:32:33:B0:C2,2020-07-01 11:18:06.205373,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-61
19,DC:A6:32:33:B0:C2,2020-07-01 11:18:07.401664,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
20,DC:A6:32:33:B0:C2,2020-07-01 11:18:08.065349,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
21,DC:A6:32:33:B0:C2,2020-07-01 11:18:10.070617,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
22,DC:A6:32:33:B0:C2,2020-07-01 11:18:11.305507,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-66
23,DC:A6:32:33:B0:C2,2020-07-01 11:18:13.101235,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-66
24,DC:A6:32:33:B0:C2,2020-07-01 11:18:15.105584,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-67
25,DC:A6:32:33:B0:C2,2020-07-01 11:18:17.110719,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-63
26,DC:A6:32:33:B0:C2,2020-07-01 11:18:18.069282,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-58
27,DC:A6:32:33:B0:C2,2020-07-01 11:18:20.074525,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-60
28,DC:A6:32:33:B0:C2,2020-07-01 11:18:22.079540,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
29,DC:A6:32:33:B0:C2,2020-07-01 11:18:24.084470,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
30,DC:A6:32:33:B0:C2,2020-07-01 11:18:25.123878,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
31,DC:A6:32:33:B0:C2,2020-07-01 11:18:27.129435,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
32,DC:A6:32:33:B0:C2,2020-07-01 11:18:28.134587,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
33,DC:A6:32:33:B0:C2,2020-07-01 11:18:29.044527,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-59
34,DC:A6:32:33:B0:C2,2020-07-01 11:18:30.020038,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-59
35,DC:A6:32:33:B0:C2,2020-07-01 11:18:31.380870,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
36,DC:A6:32:33:B0:C2,2020-07-01 11:18:32.505767,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-66
37,DC:A6:32:33:B0:C2,2020-07-01 11:18:34.011408,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-67
38,DC:A6:32:33:B0:C2,2020-07-01 11:18:36.015804,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
39,DC:A6:32:33:B0:C2,2020-07-01 11:18:37.090906,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-66
40,DC:A6:32:33:B0:C2,2020-07-01 11:18:38.137629,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-61
41,DC:A6:32:33:B0:C2,2020-07-01 11:18:39.029483,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
42,DC:A6:32:33:B0:C2,2020-07-01 11:18:40.393433,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-64
43,DC:A6:32:33:B0:C2,2020-07-01 11:18:41.053309,03f23bfa-bbae-11ea-b9dd-dca63233b0c1,1,1,1,-65
