SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-27 13:18:21.720859,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-68
1,DC:A6:32:33:B0:C2,2020-06-27 13:18:23.725399,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-78
2,DC:A6:32:33:B0:C2,2020-06-27 13:18:25.731350,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-68
3,DC:A6:32:33:B0:C2,2020-06-27 13:18:26.286019,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-67
4,DC:A6:32:33:B0:C2,2020-06-27 13:18:28.291737,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-68
5,DC:A6:32:33:B0:C2,2020-06-27 13:18:30.297683,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-78
6,DC:A6:32:33:B0:C2,2020-06-27 13:18:32.303351,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-85
7,DC:A6:32:33:B0:C2,2020-06-27 13:18:34.309178,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-67
8,DC:A6:32:33:B0:C2,2020-06-27 13:18:36.314885,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-66
9,DC:A6:32:33:B0:C2,2020-06-27 13:18:38.320554,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-65
10,DC:A6:32:33:B0:C2,2020-06-27 13:18:40.326315,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-66
11,DC:A6:32:33:B0:C2,2020-06-27 13:18:42.332027,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-84
12,DC:A6:32:33:B0:C2,2020-06-27 13:18:43.796486,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-82
13,DC:A6:32:33:B0:C2,2020-06-27 13:18:45.802323,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-66
14,DC:A6:32:33:B0:C2,2020-06-27 13:18:46.268244,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-66
15,DC:A6:32:33:B0:C2,2020-06-27 13:18:48.272074,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-65
16,DC:A6:32:33:B0:C2,2020-06-27 13:18:50.277181,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-83
17,DC:A6:32:33:B0:C2,2020-06-27 13:18:52.281731,328610b6-b89a-11ea-a5bd-dca63233b0c1,1,1,1,-66
