SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-03 11:34:45.095419,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-64
1,DC:A6:32:33:B0:C2,2020-07-03 11:34:46.771547,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
2,DC:A6:32:33:B0:C2,2020-07-03 11:34:47.031970,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-59
3,DC:A6:32:33:B0:C2,2020-07-03 11:34:49.037546,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
4,DC:A6:32:33:B0:C2,2020-07-03 11:34:50.971173,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-59
5,DC:A6:32:33:B0:C2,2020-07-03 11:34:51.019787,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-64
6,DC:A6:32:33:B0:C2,2020-07-03 11:34:53.024953,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-62
7,DC:A6:32:33:B0:C2,2020-07-03 11:34:55.029760,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-67
8,DC:A6:32:33:B0:C2,2020-07-03 11:34:56.268295,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
9,DC:A6:32:33:B0:C2,2020-07-03 11:34:57.556360,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-65
10,DC:A6:32:33:B0:C2,2020-07-03 11:34:58.272132,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
11,DC:A6:32:33:B0:C2,2020-07-03 11:34:59.376995,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-57
12,DC:A6:32:33:B0:C2,2020-07-03 11:35:01.050650,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-71
13,DC:A6:32:33:B0:C2,2020-07-03 11:35:02.480626,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-61
14,DC:A6:32:33:B0:C2,2020-07-03 11:35:03.063065,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-58
15,DC:A6:32:33:B0:C2,2020-07-03 11:35:05.068099,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-66
16,DC:A6:32:33:B0:C2,2020-07-03 11:35:06.760405,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-61
17,DC:A6:32:33:B0:C2,2020-07-03 11:35:08.271702,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-62
18,DC:A6:32:33:B0:C2,2020-07-03 11:35:09.160259,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
19,DC:A6:32:33:B0:C2,2020-07-03 11:35:11.165322,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-60
20,DC:A6:32:33:B0:C2,2020-07-03 11:35:12.308870,b7d301f0-bd42-11ea-8f96-dca63233b0c1,1,1,1,-63
