SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-02 17:56:39.734713,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-72
1,DC:A6:32:33:B0:C2,2020-07-02 17:56:40.044591,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-69
2,DC:A6:32:33:B0:C2,2020-07-02 17:56:41.019931,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
3,DC:A6:32:33:B0:C2,2020-07-02 17:56:42.168805,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
4,DC:A6:32:33:B0:C2,2020-07-02 17:56:44.173927,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-66
5,DC:A6:32:33:B0:C2,2020-07-02 17:56:45.060010,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
6,DC:A6:32:33:B0:C2,2020-07-02 17:56:46.492607,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
7,DC:A6:32:33:B0:C2,2020-07-02 17:56:47.563763,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
8,DC:A6:32:33:B0:C2,2020-07-02 17:56:48.214961,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-66
9,DC:A6:32:33:B0:C2,2020-07-02 17:56:49.505785,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-07-02 17:56:50.045030,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
11,DC:A6:32:33:B0:C2,2020-07-02 17:56:51.420088,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
12,DC:A6:32:33:B0:C2,2020-07-02 17:56:52.210159,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
13,DC:A6:32:33:B0:C2,2020-07-02 17:56:53.365092,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
14,DC:A6:32:33:B0:C2,2020-07-02 17:56:54.608805,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-76
15,DC:A6:32:33:B0:C2,2020-07-02 17:56:55.018924,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-76
16,DC:A6:32:33:B0:C2,2020-07-02 17:56:56.558836,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
17,DC:A6:32:33:B0:C2,2020-07-02 17:56:57.063837,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
18,DC:A6:32:33:B0:C2,2020-07-02 17:56:59.068979,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
19,DC:A6:32:33:B0:C2,2020-07-02 17:57:01.013657,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-77
20,DC:A6:32:33:B0:C2,2020-07-02 17:57:02.812088,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-72
21,DC:A6:32:33:B0:C2,2020-07-02 17:57:03.040069,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
22,DC:A6:32:33:B0:C2,2020-07-02 17:57:04.983375,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-67
23,DC:A6:32:33:B0:C2,2020-07-02 17:57:05.065041,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-62
24,DC:A6:32:33:B0:C2,2020-07-02 17:57:06.458884,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-72
25,DC:A6:32:33:B0:C2,2020-07-02 17:57:07.046435,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-65
26,DC:A6:32:33:B0:C2,2020-07-02 17:57:08.601485,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-63
27,DC:A6:32:33:B0:C2,2020-07-02 17:57:09.343907,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-75
28,DC:A6:32:33:B0:C2,2020-07-02 17:57:10.141579,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-76
29,DC:A6:32:33:B0:C2,2020-07-02 17:57:11.230198,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-63
30,DC:A6:32:33:B0:C2,2020-07-02 17:57:12.333914,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
31,DC:A6:32:33:B0:C2,2020-07-02 17:57:13.442908,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
32,DC:A6:32:33:B0:C2,2020-07-02 17:57:14.007712,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
33,DC:A6:32:33:B0:C2,2020-07-02 17:57:15.294040,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
34,DC:A6:32:33:B0:C2,2020-07-02 17:57:16.190362,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
35,DC:A6:32:33:B0:C2,2020-07-02 17:57:17.020239,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-74
36,DC:A6:32:33:B0:C2,2020-07-02 17:57:18.123975,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-70
37,DC:A6:32:33:B0:C2,2020-07-02 17:57:19.165306,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-73
38,DC:A6:32:33:B0:C2,2020-07-02 17:57:20.061551,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-68
39,DC:A6:32:33:B0:C2,2020-07-02 17:57:21.705352,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-74
40,DC:A6:32:33:B0:C2,2020-07-02 17:57:22.097167,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-74
41,DC:A6:32:33:B0:C2,2020-07-02 17:57:23.081566,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-73
42,DC:A6:32:33:B0:C2,2020-07-02 17:57:24.260279,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
43,DC:A6:32:33:B0:C2,2020-07-02 17:57:25.545884,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-71
44,DC:A6:32:33:B0:C2,2020-07-02 17:57:27.554959,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
45,DC:A6:32:33:B0:C2,2020-07-02 17:57:28.205397,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-73
46,DC:A6:32:33:B0:C2,2020-07-02 17:57:29.390406,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-63
47,DC:A6:32:33:B0:C2,2020-07-02 17:57:30.255401,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-71
48,DC:A6:32:33:B0:C2,2020-07-02 17:57:32.260542,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
49,DC:A6:32:33:B0:C2,2020-07-02 17:57:33.358633,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
50,DC:A6:32:33:B0:C2,2020-07-02 17:57:34.331652,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
51,DC:A6:32:33:B0:C2,2020-07-02 17:57:35.585496,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-64
52,DC:A6:32:33:B0:C2,2020-07-02 17:57:36.270451,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-74
53,DC:A6:32:33:B0:C2,2020-07-02 17:57:37.040371,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-70
54,DC:A6:32:33:B0:C2,2020-07-02 17:57:39.045630,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-72
55,DC:A6:32:33:B0:C2,2020-07-02 17:57:40.170488,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-79
56,DC:A6:32:33:B0:C2,2020-07-02 17:57:42.175647,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-72
57,DC:A6:32:33:B0:C2,2020-07-02 17:57:43.160462,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-65
58,DC:A6:32:33:B0:C2,2020-07-02 17:57:44.358119,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-65
59,DC:A6:32:33:B0:C2,2020-07-02 17:57:45.376858,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-76
60,DC:A6:32:33:B0:C2,2020-07-02 17:57:46.265720,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-70
61,DC:A6:32:33:B0:C2,2020-07-02 17:57:47.385670,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-73
62,DC:A6:32:33:B0:C2,2020-07-02 17:57:48.450541,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-73
63,DC:A6:32:33:B0:C2,2020-07-02 17:57:49.493029,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-75
64,DC:A6:32:33:B0:C2,2020-07-02 17:57:50.051812,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-70
65,DC:A6:32:33:B0:C2,2020-07-02 17:57:51.414472,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-74
66,DC:A6:32:33:B0:C2,2020-07-02 17:57:52.520550,e7952bc8-bcae-11ea-9b63-dca63233b0c1,1,1,1,-70
