SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-03 12:26:56.041154,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-64
1,DC:A6:32:33:B0:C2,2020-07-03 12:26:57.583993,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
2,DC:A6:32:33:B0:C2,2020-07-03 12:26:58.568784,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-64
3,DC:A6:32:33:B0:C2,2020-07-03 12:26:59.026444,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
4,DC:A6:32:33:B0:C2,2020-07-03 12:27:00.025033,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
5,DC:A6:32:33:B0:C2,2020-07-03 12:27:02.061832,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
6,DC:A6:32:33:B0:C2,2020-07-03 12:27:04.066220,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
7,DC:A6:32:33:B0:C2,2020-07-03 12:27:05.473837,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
8,DC:A6:32:33:B0:C2,2020-07-03 12:27:06.393028,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
9,DC:A6:32:33:B0:C2,2020-07-03 12:27:07.384528,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
10,DC:A6:32:33:B0:C2,2020-07-03 12:27:08.054994,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
11,DC:A6:32:33:B0:C2,2020-07-03 12:27:09.094832,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
12,DC:A6:32:33:B0:C2,2020-07-03 12:27:10.573614,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
13,DC:A6:32:33:B0:C2,2020-07-03 12:27:11.067427,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-66
14,DC:A6:32:33:B0:C2,2020-07-03 12:27:12.652905,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
15,DC:A6:32:33:B0:C2,2020-07-03 12:27:13.099140,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
16,DC:A6:32:33:B0:C2,2020-07-03 12:27:14.325353,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
17,DC:A6:32:33:B0:C2,2020-07-03 12:27:15.147212,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
18,DC:A6:32:33:B0:C2,2020-07-03 12:27:16.065923,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
19,DC:A6:32:33:B0:C2,2020-07-03 12:27:17.089819,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-63
20,DC:A6:32:33:B0:C2,2020-07-03 12:27:18.228437,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
21,DC:A6:32:33:B0:C2,2020-07-03 12:27:19.713444,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
22,DC:A6:32:33:B0:C2,2020-07-03 12:27:20.183335,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-63
23,DC:A6:32:33:B0:C2,2020-07-03 12:27:21.363323,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
24,DC:A6:32:33:B0:C2,2020-07-03 12:27:22.240185,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
25,DC:A6:32:33:B0:C2,2020-07-03 12:27:24.245943,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
26,DC:A6:32:33:B0:C2,2020-07-03 12:27:25.037066,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
27,DC:A6:32:33:B0:C2,2020-07-03 12:27:26.317153,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-63
28,DC:A6:32:33:B0:C2,2020-07-03 12:27:27.234498,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
29,DC:A6:32:33:B0:C2,2020-07-03 12:27:28.613184,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
30,DC:A6:32:33:B0:C2,2020-07-03 12:27:30.618296,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
31,DC:A6:32:33:B0:C2,2020-07-03 12:27:31.157530,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
32,DC:A6:32:33:B0:C2,2020-07-03 12:27:32.243326,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
33,DC:A6:32:33:B0:C2,2020-07-03 12:27:33.128119,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-63
34,DC:A6:32:33:B0:C2,2020-07-03 12:27:34.234333,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
35,DC:A6:32:33:B0:C2,2020-07-03 12:27:35.004478,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
36,DC:A6:32:33:B0:C2,2020-07-03 12:27:36.161926,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-66
37,DC:A6:32:33:B0:C2,2020-07-03 12:27:37.381783,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
38,DC:A6:32:33:B0:C2,2020-07-03 12:27:38.598186,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-64
39,DC:A6:32:33:B0:C2,2020-07-03 12:27:39.016689,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-67
40,DC:A6:32:33:B0:C2,2020-07-03 12:27:40.246744,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-64
41,DC:A6:32:33:B0:C2,2020-07-03 12:27:42.021816,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-62
42,DC:A6:32:33:B0:C2,2020-07-03 12:27:44.026685,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-66
43,DC:A6:32:33:B0:C2,2020-07-03 12:27:45.288031,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-65
44,DC:A6:32:33:B0:C2,2020-07-03 12:27:47.292863,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-71
45,DC:A6:32:33:B0:C2,2020-07-03 12:27:49.297847,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
46,DC:A6:32:33:B0:C2,2020-07-03 12:27:50.590439,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-60
47,DC:A6:32:33:B0:C2,2020-07-03 12:27:51.836664,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-69
48,DC:A6:32:33:B0:C2,2020-07-03 12:27:52.092665,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-72
49,DC:A6:32:33:B0:C2,2020-07-03 12:27:53.162731,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-73
50,DC:A6:32:33:B0:C2,2020-07-03 12:27:54.112860,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-69
51,DC:A6:32:33:B0:C2,2020-07-03 12:27:55.237715,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-72
52,DC:A6:32:33:B0:C2,2020-07-03 12:27:57.242830,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-71
53,DC:A6:32:33:B0:C2,2020-07-03 12:27:58.042660,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-68
54,DC:A6:32:33:B0:C2,2020-07-03 12:27:59.073894,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-73
55,DC:A6:32:33:B0:C2,2020-07-03 12:28:01.078997,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-60
56,DC:A6:32:33:B0:C2,2020-07-03 12:28:02.122591,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-61
57,DC:A6:32:33:B0:C2,2020-07-03 12:28:04.127708,01f76210-bd4a-11ea-9260-dca63233b0c1,1,1,1,-73
