SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-03 07:59:54.750627,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-80
1,DC:A6:32:33:B0:C2,2020-07-03 07:59:56.537406,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-64
2,DC:A6:32:33:B0:C2,2020-07-03 07:59:58.348616,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-85
3,DC:A6:32:33:B0:C2,2020-07-03 07:59:59.407239,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-77
4,DC:A6:32:33:B0:C2,2020-07-03 08:00:01.368686,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-61
5,DC:A6:32:33:B0:C2,2020-07-03 08:00:02.011013,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-72
6,DC:A6:32:33:B0:C2,2020-07-03 08:00:04.016283,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-60
7,DC:A6:32:33:B0:C2,2020-07-03 08:00:06.021107,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-76
8,DC:A6:32:33:B0:C2,2020-07-03 08:00:07.179991,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-63
9,DC:A6:32:33:B0:C2,2020-07-03 08:00:08.447425,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-70
10,DC:A6:32:33:B0:C2,2020-07-03 08:00:09.120812,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-84
11,DC:A6:32:33:B0:C2,2020-07-03 08:00:10.140024,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-70
12,DC:A6:32:33:B0:C2,2020-07-03 08:00:12.144981,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-79
13,DC:A6:32:33:B0:C2,2020-07-03 08:00:14.108820,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-63
14,DC:A6:32:33:B0:C2,2020-07-03 08:00:15.470005,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-70
15,DC:A6:32:33:B0:C2,2020-07-03 08:00:17.474359,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-80
16,DC:A6:32:33:B0:C2,2020-07-03 08:00:18.018712,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-79
17,DC:A6:32:33:B0:C2,2020-07-03 08:00:19.858880,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-64
18,DC:A6:32:33:B0:C2,2020-07-03 08:00:21.863995,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-71
19,DC:A6:32:33:B0:C2,2020-07-03 08:00:22.752538,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-80
20,DC:A6:32:33:B0:C2,2020-07-03 08:00:24.695047,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-84
21,DC:A6:32:33:B0:C2,2020-07-03 08:00:25.038723,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-84
22,DC:A6:32:33:B0:C2,2020-07-03 08:00:27.043844,b444a5a2-bd24-11ea-9a69-dca63233b0c1,1,1,1,-74
