SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-02 17:29:34.046275,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
1,DC:A6:32:33:B0:C2,2020-07-02 17:29:35.014426,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
2,DC:A6:32:33:B0:C2,2020-07-02 17:29:36.373184,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-66
3,DC:A6:32:33:B0:C2,2020-07-02 17:29:37.328069,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-66
4,DC:A6:32:33:B0:C2,2020-07-02 17:29:38.793134,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
5,DC:A6:32:33:B0:C2,2020-07-02 17:29:39.637367,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
6,DC:A6:32:33:B0:C2,2020-07-02 17:29:40.191732,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
7,DC:A6:32:33:B0:C2,2020-07-02 17:29:41.686993,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
8,DC:A6:32:33:B0:C2,2020-07-02 17:29:42.123210,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
9,DC:A6:32:33:B0:C2,2020-07-02 17:29:43.191838,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
10,DC:A6:32:33:B0:C2,2020-07-02 17:29:44.408120,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
11,DC:A6:32:33:B0:C2,2020-07-02 17:29:45.071337,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
12,DC:A6:32:33:B0:C2,2020-07-02 17:29:46.160583,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
13,DC:A6:32:33:B0:C2,2020-07-02 17:29:47.230654,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
14,DC:A6:32:33:B0:C2,2020-07-02 17:29:48.123871,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
15,DC:A6:32:33:B0:C2,2020-07-02 17:29:49.413118,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
16,DC:A6:32:33:B0:C2,2020-07-02 17:29:50.160683,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
17,DC:A6:32:33:B0:C2,2020-07-02 17:29:52.165815,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
18,DC:A6:32:33:B0:C2,2020-07-02 17:29:53.453743,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
19,DC:A6:32:33:B0:C2,2020-07-02 17:29:55.459569,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
20,DC:A6:32:33:B0:C2,2020-07-02 17:29:56.208203,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
21,DC:A6:32:33:B0:C2,2020-07-02 17:29:57.023811,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
22,DC:A6:32:33:B0:C2,2020-07-02 17:29:58.363813,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
23,DC:A6:32:33:B0:C2,2020-07-02 17:29:59.578160,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
24,DC:A6:32:33:B0:C2,2020-07-02 17:30:01.583358,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
25,DC:A6:32:33:B0:C2,2020-07-02 17:30:02.321996,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
26,DC:A6:32:33:B0:C2,2020-07-02 17:30:03.552098,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
27,DC:A6:32:33:B0:C2,2020-07-02 17:30:04.842018,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
28,DC:A6:32:33:B0:C2,2020-07-02 17:30:05.045775,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
29,DC:A6:32:33:B0:C2,2020-07-02 17:30:06.840880,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
30,DC:A6:32:33:B0:C2,2020-07-02 17:30:07.227004,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
31,DC:A6:32:33:B0:C2,2020-07-02 17:30:08.487525,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
32,DC:A6:32:33:B0:C2,2020-07-02 17:30:09.308872,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
33,DC:A6:32:33:B0:C2,2020-07-02 17:30:10.073866,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
34,DC:A6:32:33:B0:C2,2020-07-02 17:30:11.286358,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
35,DC:A6:32:33:B0:C2,2020-07-02 17:30:12.635310,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
36,DC:A6:32:33:B0:C2,2020-07-02 17:30:13.049528,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
37,DC:A6:32:33:B0:C2,2020-07-02 17:30:14.234053,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
38,DC:A6:32:33:B0:C2,2020-07-02 17:30:15.215971,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
39,DC:A6:32:33:B0:C2,2020-07-02 17:30:16.170796,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
40,DC:A6:32:33:B0:C2,2020-07-02 17:30:17.399552,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
41,DC:A6:32:33:B0:C2,2020-07-02 17:30:18.110813,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
42,DC:A6:32:33:B0:C2,2020-07-02 17:30:19.852123,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
43,DC:A6:32:33:B0:C2,2020-07-02 17:30:20.008293,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
44,DC:A6:32:33:B0:C2,2020-07-02 17:30:21.025815,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
45,DC:A6:32:33:B0:C2,2020-07-02 17:30:22.042243,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
46,DC:A6:32:33:B0:C2,2020-07-02 17:30:23.123972,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-66
47,DC:A6:32:33:B0:C2,2020-07-02 17:30:24.087054,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
48,DC:A6:32:33:B0:C2,2020-07-02 17:30:25.287138,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
49,DC:A6:32:33:B0:C2,2020-07-02 17:30:26.770823,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
50,DC:A6:32:33:B0:C2,2020-07-02 17:30:27.199746,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
51,DC:A6:32:33:B0:C2,2020-07-02 17:30:28.064015,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
52,DC:A6:32:33:B0:C2,2020-07-02 17:30:30.069654,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
53,DC:A6:32:33:B0:C2,2020-07-02 17:30:31.789791,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
54,DC:A6:32:33:B0:C2,2020-07-02 17:30:32.088911,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
55,DC:A6:32:33:B0:C2,2020-07-02 17:30:33.275457,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
56,DC:A6:32:33:B0:C2,2020-07-02 17:30:34.270964,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
57,DC:A6:32:33:B0:C2,2020-07-02 17:30:35.398474,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
58,DC:A6:32:33:B0:C2,2020-07-02 17:30:37.402856,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
59,DC:A6:32:33:B0:C2,2020-07-02 17:30:38.069609,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-68
60,DC:A6:32:33:B0:C2,2020-07-02 17:30:39.804199,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
61,DC:A6:32:33:B0:C2,2020-07-02 17:30:41.022215,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
62,DC:A6:32:33:B0:C2,2020-07-02 17:30:42.309880,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
63,DC:A6:32:33:B0:C2,2020-07-02 17:30:43.126121,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
64,DC:A6:32:33:B0:C2,2020-07-02 17:30:44.741688,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
65,DC:A6:32:33:B0:C2,2020-07-02 17:30:45.300013,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
66,DC:A6:32:33:B0:C2,2020-07-02 17:30:46.058654,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
67,DC:A6:32:33:B0:C2,2020-07-02 17:30:48.063543,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
68,DC:A6:32:33:B0:C2,2020-07-02 17:30:49.099716,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
69,DC:A6:32:33:B0:C2,2020-07-02 17:30:50.045368,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
70,DC:A6:32:33:B0:C2,2020-07-02 17:30:51.335720,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
71,DC:A6:32:33:B0:C2,2020-07-02 17:30:52.108660,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-62
72,DC:A6:32:33:B0:C2,2020-07-02 17:30:53.008532,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-63
73,DC:A6:32:33:B0:C2,2020-07-02 17:30:55.013720,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-67
74,DC:A6:32:33:B0:C2,2020-07-02 17:30:56.678605,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-61
75,DC:A6:32:33:B0:C2,2020-07-02 17:30:58.041223,1d3d711c-bcab-11ea-9af7-dca63233b0c1,1,1,1,-64
