SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-02 12:55:37.180246,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-65
1,DC:A6:32:33:B0:C2,2020-07-02 12:55:39.184402,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-64
2,DC:A6:32:33:B0:C2,2020-07-02 12:55:41.189192,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-64
3,DC:A6:32:33:B0:C2,2020-07-02 12:55:43.194014,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
4,DC:A6:32:33:B0:C2,2020-07-02 12:55:45.200032,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
5,DC:A6:32:33:B0:C2,2020-07-02 12:55:46.712452,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
6,DC:A6:32:33:B0:C2,2020-07-02 12:55:47.060970,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
7,DC:A6:32:33:B0:C2,2020-07-02 12:55:49.066051,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
8,DC:A6:32:33:B0:C2,2020-07-02 12:55:51.070837,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
9,DC:A6:32:33:B0:C2,2020-07-02 12:55:52.230835,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-64
10,DC:A6:32:33:B0:C2,2020-07-02 12:55:53.041857,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
11,DC:A6:32:33:B0:C2,2020-07-02 12:55:54.805533,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
12,DC:A6:32:33:B0:C2,2020-07-02 12:55:55.056015,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
13,DC:A6:32:33:B0:C2,2020-07-02 12:55:57.060418,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
14,DC:A6:32:33:B0:C2,2020-07-02 12:55:59.065464,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
15,DC:A6:32:33:B0:C2,2020-07-02 12:56:01.070306,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
16,DC:A6:32:33:B0:C2,2020-07-02 12:56:03.075215,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
17,DC:A6:32:33:B0:C2,2020-07-02 12:56:05.081415,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
18,DC:A6:32:33:B0:C2,2020-07-02 12:56:07.085716,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-70
19,DC:A6:32:33:B0:C2,2020-07-02 12:56:09.091180,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-66
20,DC:A6:32:33:B0:C2,2020-07-02 12:56:10.286782,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-71
21,DC:A6:32:33:B0:C2,2020-07-02 12:56:12.292259,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
22,DC:A6:32:33:B0:C2,2020-07-02 12:56:13.294887,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
23,DC:A6:32:33:B0:C2,2020-07-02 12:56:14.153422,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-70
24,DC:A6:32:33:B0:C2,2020-07-02 12:56:15.440927,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
25,DC:A6:32:33:B0:C2,2020-07-02 12:56:16.174607,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
26,DC:A6:32:33:B0:C2,2020-07-02 12:56:18.179581,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
27,DC:A6:32:33:B0:C2,2020-07-02 12:56:19.304483,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
28,DC:A6:32:33:B0:C2,2020-07-02 12:56:20.597689,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
29,DC:A6:32:33:B0:C2,2020-07-02 12:56:21.011953,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
30,DC:A6:32:33:B0:C2,2020-07-02 12:56:23.017095,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
31,DC:A6:32:33:B0:C2,2020-07-02 12:56:24.056965,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
32,DC:A6:32:33:B0:C2,2020-07-02 12:56:26.062046,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
33,DC:A6:32:33:B0:C2,2020-07-02 12:56:28.049371,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
34,DC:A6:32:33:B0:C2,2020-07-02 12:56:30.054374,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
35,DC:A6:32:33:B0:C2,2020-07-02 12:56:32.059453,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
36,DC:A6:32:33:B0:C2,2020-07-02 12:56:33.104286,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
37,DC:A6:32:33:B0:C2,2020-07-02 12:56:35.109409,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
38,DC:A6:32:33:B0:C2,2020-07-02 12:56:36.289245,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
39,DC:A6:32:33:B0:C2,2020-07-02 12:56:38.294403,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
40,DC:A6:32:33:B0:C2,2020-07-02 12:56:39.129210,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
41,DC:A6:32:33:B0:C2,2020-07-02 12:56:41.134378,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
42,DC:A6:32:33:B0:C2,2020-07-02 12:56:42.524817,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
43,DC:A6:32:33:B0:C2,2020-07-02 12:56:43.109423,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
44,DC:A6:32:33:B0:C2,2020-07-02 12:56:45.114302,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
45,DC:A6:32:33:B0:C2,2020-07-02 12:56:46.395641,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
46,DC:A6:32:33:B0:C2,2020-07-02 12:56:47.642989,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
47,DC:A6:32:33:B0:C2,2020-07-02 12:56:49.648067,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
48,DC:A6:32:33:B0:C2,2020-07-02 12:56:51.652952,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
49,DC:A6:32:33:B0:C2,2020-07-02 12:56:52.854321,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
50,DC:A6:32:33:B0:C2,2020-07-02 12:56:53.041682,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
51,DC:A6:32:33:B0:C2,2020-07-02 12:56:54.140397,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
52,DC:A6:32:33:B0:C2,2020-07-02 12:56:55.919289,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
53,DC:A6:32:33:B0:C2,2020-07-02 12:56:56.329143,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
54,DC:A6:32:33:B0:C2,2020-07-02 12:56:58.005410,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
55,DC:A6:32:33:B0:C2,2020-07-02 12:56:59.081794,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
56,DC:A6:32:33:B0:C2,2020-07-02 12:57:00.546669,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-66
57,DC:A6:32:33:B0:C2,2020-07-02 12:57:01.371657,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
58,DC:A6:32:33:B0:C2,2020-07-02 12:57:02.201019,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
59,DC:A6:32:33:B0:C2,2020-07-02 12:57:04.019149,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
60,DC:A6:32:33:B0:C2,2020-07-02 12:57:05.746172,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
61,DC:A6:32:33:B0:C2,2020-07-02 12:57:07.304203,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
62,DC:A6:32:33:B0:C2,2020-07-02 12:57:08.950528,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
63,DC:A6:32:33:B0:C2,2020-07-02 12:57:09.016555,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
64,DC:A6:32:33:B0:C2,2020-07-02 12:57:10.769312,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
65,DC:A6:32:33:B0:C2,2020-07-02 12:57:11.014157,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
66,DC:A6:32:33:B0:C2,2020-07-02 12:57:12.202935,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
67,DC:A6:32:33:B0:C2,2020-07-02 12:57:13.121634,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
68,DC:A6:32:33:B0:C2,2020-07-02 12:57:14.429294,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
69,DC:A6:32:33:B0:C2,2020-07-02 12:57:16.434419,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
70,DC:A6:32:33:B0:C2,2020-07-02 12:57:17.354375,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
71,DC:A6:32:33:B0:C2,2020-07-02 12:57:18.642934,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
72,DC:A6:32:33:B0:C2,2020-07-02 12:57:20.648087,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
73,DC:A6:32:33:B0:C2,2020-07-02 12:57:21.024155,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
74,DC:A6:32:33:B0:C2,2020-07-02 12:57:22.494847,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
75,DC:A6:32:33:B0:C2,2020-07-02 12:57:23.173840,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
76,DC:A6:32:33:B0:C2,2020-07-02 12:57:25.179249,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
77,DC:A6:32:33:B0:C2,2020-07-02 12:57:26.390608,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
78,DC:A6:32:33:B0:C2,2020-07-02 12:57:28.395570,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
79,DC:A6:32:33:B0:C2,2020-07-02 12:57:30.400662,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-67
80,DC:A6:32:33:B0:C2,2020-07-02 12:57:31.553121,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
81,DC:A6:32:33:B0:C2,2020-07-02 12:57:32.799395,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
82,DC:A6:32:33:B0:C2,2020-07-02 12:57:33.010388,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
83,DC:A6:32:33:B0:C2,2020-07-02 12:57:35.015009,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-69
84,DC:A6:32:33:B0:C2,2020-07-02 12:57:36.781808,d91f8482-bc84-11ea-92b4-dca63233b0c1,1,1,1,-68
