SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-04 11:19:20.287435,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
1,DC:A6:32:33:B0:C2,2020-07-04 11:19:21.226895,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-73
2,DC:A6:32:33:B0:C2,2020-07-04 11:19:22.086800,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-63
3,DC:A6:32:33:B0:C2,2020-07-04 11:19:23.126845,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-63
4,DC:A6:32:33:B0:C2,2020-07-04 11:19:24.846827,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
5,DC:A6:32:33:B0:C2,2020-07-04 11:19:25.015522,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
6,DC:A6:32:33:B0:C2,2020-07-04 11:19:26.140512,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
7,DC:A6:32:33:B0:C2,2020-07-04 11:19:27.211739,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-72
8,DC:A6:32:33:B0:C2,2020-07-04 11:19:28.021978,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
9,DC:A6:32:33:B0:C2,2020-07-04 11:19:30.026975,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-74
10,DC:A6:32:33:B0:C2,2020-07-04 11:19:31.293221,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
11,DC:A6:32:33:B0:C2,2020-07-04 11:19:32.102490,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
12,DC:A6:32:33:B0:C2,2020-07-04 11:19:34.106843,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
13,DC:A6:32:33:B0:C2,2020-07-04 11:19:35.158129,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
14,DC:A6:32:33:B0:C2,2020-07-04 11:19:36.183676,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
15,DC:A6:32:33:B0:C2,2020-07-04 11:19:37.374483,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
16,DC:A6:32:33:B0:C2,2020-07-04 11:19:38.289398,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
17,DC:A6:32:33:B0:C2,2020-07-04 11:19:39.836186,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
18,DC:A6:32:33:B0:C2,2020-07-04 11:19:40.021718,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
19,DC:A6:32:33:B0:C2,2020-07-04 11:19:42.026968,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
20,DC:A6:32:33:B0:C2,2020-07-04 11:19:43.263694,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
21,DC:A6:32:33:B0:C2,2020-07-04 11:19:44.896842,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
22,DC:A6:32:33:B0:C2,2020-07-04 11:19:45.229336,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
23,DC:A6:32:33:B0:C2,2020-07-04 11:19:46.571975,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
24,DC:A6:32:33:B0:C2,2020-07-04 11:19:48.576853,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
25,DC:A6:32:33:B0:C2,2020-07-04 11:19:49.169397,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
26,DC:A6:32:33:B0:C2,2020-07-04 11:19:50.320714,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
27,DC:A6:32:33:B0:C2,2020-07-04 11:19:51.076776,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
28,DC:A6:32:33:B0:C2,2020-07-04 11:19:53.081957,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
29,DC:A6:32:33:B0:C2,2020-07-04 11:19:55.086991,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
30,DC:A6:32:33:B0:C2,2020-07-04 11:19:56.197085,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
31,DC:A6:32:33:B0:C2,2020-07-04 11:19:57.093930,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
32,DC:A6:32:33:B0:C2,2020-07-04 11:19:59.099809,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-63
33,DC:A6:32:33:B0:C2,2020-07-04 11:20:01.072698,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
34,DC:A6:32:33:B0:C2,2020-07-04 11:20:02.251122,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-67
35,DC:A6:32:33:B0:C2,2020-07-04 11:20:03.479843,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-63
36,DC:A6:32:33:B0:C2,2020-07-04 11:20:05.485030,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
37,DC:A6:32:33:B0:C2,2020-07-04 11:20:06.133645,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-67
38,DC:A6:32:33:B0:C2,2020-07-04 11:20:07.442461,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
39,DC:A6:32:33:B0:C2,2020-07-04 11:20:08.707528,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
40,DC:A6:32:33:B0:C2,2020-07-04 11:20:09.259947,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-64
41,DC:A6:32:33:B0:C2,2020-07-04 11:20:10.025045,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-73
42,DC:A6:32:33:B0:C2,2020-07-04 11:20:11.388835,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
43,DC:A6:32:33:B0:C2,2020-07-04 11:20:12.123268,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-68
44,DC:A6:32:33:B0:C2,2020-07-04 11:20:13.862859,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-68
45,DC:A6:32:33:B0:C2,2020-07-04 11:20:14.113288,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
46,DC:A6:32:33:B0:C2,2020-07-04 11:20:15.150274,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
47,DC:A6:32:33:B0:C2,2020-07-04 11:20:16.390294,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-72
48,DC:A6:32:33:B0:C2,2020-07-04 11:20:17.598020,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-73
49,DC:A6:32:33:B0:C2,2020-07-04 11:20:18.031611,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-68
50,DC:A6:32:33:B0:C2,2020-07-04 11:20:19.024117,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
51,DC:A6:32:33:B0:C2,2020-07-04 11:20:20.099377,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-64
52,DC:A6:32:33:B0:C2,2020-07-04 11:20:21.014821,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
53,DC:A6:32:33:B0:C2,2020-07-04 11:20:23.019481,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
54,DC:A6:32:33:B0:C2,2020-07-04 11:20:24.190630,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-74
55,DC:A6:32:33:B0:C2,2020-07-04 11:20:25.483124,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
56,DC:A6:32:33:B0:C2,2020-07-04 11:20:27.159609,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
57,DC:A6:32:33:B0:C2,2020-07-04 11:20:28.058263,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
58,DC:A6:32:33:B0:C2,2020-07-04 11:20:29.069711,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-68
59,DC:A6:32:33:B0:C2,2020-07-04 11:20:30.049641,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
60,DC:A6:32:33:B0:C2,2020-07-04 11:20:32.054749,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
61,DC:A6:32:33:B0:C2,2020-07-04 11:20:33.212135,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
62,DC:A6:32:33:B0:C2,2020-07-04 11:20:34.294065,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-77
63,DC:A6:32:33:B0:C2,2020-07-04 11:20:36.208619,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
64,DC:A6:32:33:B0:C2,2020-07-04 11:20:37.132265,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-73
65,DC:A6:32:33:B0:C2,2020-07-04 11:20:38.371211,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
66,DC:A6:32:33:B0:C2,2020-07-04 11:20:39.663626,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
67,DC:A6:32:33:B0:C2,2020-07-04 11:20:40.323546,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
68,DC:A6:32:33:B0:C2,2020-07-04 11:20:41.880071,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
69,DC:A6:32:33:B0:C2,2020-07-04 11:20:42.246760,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-67
70,DC:A6:32:33:B0:C2,2020-07-04 11:20:43.339393,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
71,DC:A6:32:33:B0:C2,2020-07-04 11:20:44.396358,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
72,DC:A6:32:33:B0:C2,2020-07-04 11:20:45.352577,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
73,DC:A6:32:33:B0:C2,2020-07-04 11:20:46.581339,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
74,DC:A6:32:33:B0:C2,2020-07-04 11:20:47.188927,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-71
75,DC:A6:32:33:B0:C2,2020-07-04 11:20:48.098843,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-65
76,DC:A6:32:33:B0:C2,2020-07-04 11:20:50.104038,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
77,DC:A6:32:33:B0:C2,2020-07-04 11:20:51.292678,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-64
78,DC:A6:32:33:B0:C2,2020-07-04 11:20:52.560203,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-64
79,DC:A6:32:33:B0:C2,2020-07-04 11:20:53.369092,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-73
80,DC:A6:32:33:B0:C2,2020-07-04 11:20:55.186554,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-67
81,DC:A6:32:33:B0:C2,2020-07-04 11:20:56.435276,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
82,DC:A6:32:33:B0:C2,2020-07-04 11:20:57.725231,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-66
83,DC:A6:32:33:B0:C2,2020-07-04 11:20:58.259015,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-69
84,DC:A6:32:33:B0:C2,2020-07-04 11:21:00.264290,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-64
85,DC:A6:32:33:B0:C2,2020-07-04 11:21:01.604208,ba6fb03a-be09-11ea-b41b-dca63233b0c1,1,1,1,-70
