SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-05 17:18:51.111595,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-67
1,DC:A6:32:33:B0:C2,2020-07-05 17:18:52.987561,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-69
2,DC:A6:32:33:B0:C2,2020-07-05 17:18:53.026020,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-68
3,DC:A6:32:33:B0:C2,2020-07-05 17:18:55.031272,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-69
4,DC:A6:32:33:B0:C2,2020-07-05 17:18:56.279928,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-69
5,DC:A6:32:33:B0:C2,2020-07-05 17:18:58.285046,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-68
6,DC:A6:32:33:B0:C2,2020-07-05 17:18:59.213629,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-68
7,DC:A6:32:33:B0:C2,2020-07-05 17:19:00.873798,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-67
8,DC:A6:32:33:B0:C2,2020-07-05 17:19:01.041096,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-67
9,DC:A6:32:33:B0:C2,2020-07-05 17:19:02.237530,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-07-05 17:19:03.301348,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-67
11,DC:A6:32:33:B0:C2,2020-07-05 17:19:04.807531,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-69
12,DC:A6:32:33:B0:C2,2020-07-05 17:19:05.724932,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-69
13,DC:A6:32:33:B0:C2,2020-07-05 17:19:06.098598,1eb27de2-bf05-11ea-ba1f-dca63233b0c1,1,1,1,-68
