SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-22 14:50:15.729572,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-82
1,DC:A6:32:33:B0:C2,2020-07-22 14:50:16.230169,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
2,DC:A6:32:33:B0:C2,2020-07-22 14:50:17.534835,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
3,DC:A6:32:33:B0:C2,2020-07-22 14:50:18.638647,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-93
4,DC:A6:32:33:B0:C2,2020-07-22 14:50:19.019793,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-77
5,DC:A6:32:33:B0:C2,2020-07-22 14:50:20.008576,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
6,DC:A6:32:33:B0:C2,2020-07-22 14:50:21.103734,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-95
7,DC:A6:32:33:B0:C2,2020-07-22 14:50:23.108662,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-83
8,DC:A6:32:33:B0:C2,2020-07-22 14:50:24.686221,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
9,DC:A6:32:33:B0:C2,2020-07-22 14:50:25.246123,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-82
10,DC:A6:32:33:B0:C2,2020-07-22 14:50:26.070434,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-77
11,DC:A6:32:33:B0:C2,2020-07-22 14:50:27.710003,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-77
12,DC:A6:32:33:B0:C2,2020-07-22 14:50:28.819881,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-78
13,DC:A6:32:33:B0:C2,2020-07-22 14:50:29.077297,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-77
14,DC:A6:32:33:B0:C2,2020-07-22 14:50:30.139989,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-84
15,DC:A6:32:33:B0:C2,2020-07-22 14:50:32.127404,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-78
16,DC:A6:32:33:B0:C2,2020-07-22 14:50:33.217528,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
17,DC:A6:32:33:B0:C2,2020-07-22 14:50:34.314976,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-83
18,DC:A6:32:33:B0:C2,2020-07-22 14:50:35.144885,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-74
19,DC:A6:32:33:B0:C2,2020-07-22 14:50:36.736358,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-88
20,DC:A6:32:33:B0:C2,2020-07-22 14:50:37.736168,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
21,DC:A6:32:33:B0:C2,2020-07-22 14:50:38.239879,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
22,DC:A6:32:33:B0:C2,2020-07-22 14:50:40.245124,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
23,DC:A6:32:33:B0:C2,2020-07-22 14:50:41.239953,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
24,DC:A6:32:33:B0:C2,2020-07-22 14:50:42.318813,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
25,DC:A6:32:33:B0:C2,2020-07-22 14:50:43.420581,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
26,DC:A6:32:33:B0:C2,2020-07-22 14:50:44.226209,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
27,DC:A6:32:33:B0:C2,2020-07-22 14:50:46.231364,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-79
28,DC:A6:32:33:B0:C2,2020-07-22 14:50:48.236388,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
29,DC:A6:32:33:B0:C2,2020-07-22 14:50:49.456287,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-93
30,DC:A6:32:33:B0:C2,2020-07-22 14:50:50.008759,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
31,DC:A6:32:33:B0:C2,2020-07-22 14:50:51.283925,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
32,DC:A6:32:33:B0:C2,2020-07-22 14:50:52.411310,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
33,DC:A6:32:33:B0:C2,2020-07-22 14:50:53.040014,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
34,DC:A6:32:33:B0:C2,2020-07-22 14:50:54.136433,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-90
35,DC:A6:32:33:B0:C2,2020-07-22 14:50:55.077661,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
36,DC:A6:32:33:B0:C2,2020-07-22 14:50:56.188825,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
37,DC:A6:32:33:B0:C2,2020-07-22 14:50:57.795282,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-79
38,DC:A6:32:33:B0:C2,2020-07-22 14:50:58.256315,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
39,DC:A6:32:33:B0:C2,2020-07-22 14:50:59.077587,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
40,DC:A6:32:33:B0:C2,2020-07-22 14:51:01.082663,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
41,DC:A6:32:33:B0:C2,2020-07-22 14:51:02.150107,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
42,DC:A6:32:33:B0:C2,2020-07-22 14:51:04.155330,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
43,DC:A6:32:33:B0:C2,2020-07-22 14:51:05.206437,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-76
44,DC:A6:32:33:B0:C2,2020-07-22 14:51:06.038894,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-80
45,DC:A6:32:33:B0:C2,2020-07-22 14:51:07.558964,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-75
46,DC:A6:32:33:B0:C2,2020-07-22 14:51:09.000393,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-91
47,DC:A6:32:33:B0:C2,2020-07-22 14:51:10.845369,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-93
48,DC:A6:32:33:B0:C2,2020-07-22 14:51:11.017724,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-81
49,DC:A6:32:33:B0:C2,2020-07-22 14:51:12.020276,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-83
50,DC:A6:32:33:B0:C2,2020-07-22 14:51:13.599172,2cc34354-cc4c-11ea-a011-dca63233b0c1,1,1,1,-96
