SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-04 08:26:14.632711,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-72
1,DC:A6:32:33:B0:C2,2020-07-04 08:26:15.276581,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-73
2,DC:A6:32:33:B0:C2,2020-07-04 08:26:16.005579,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-77
3,DC:A6:32:33:B0:C2,2020-07-04 08:26:18.010557,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-72
4,DC:A6:32:33:B0:C2,2020-07-04 08:26:19.019951,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-72
5,DC:A6:32:33:B0:C2,2020-07-04 08:26:20.121783,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-78
6,DC:A6:32:33:B0:C2,2020-07-04 08:26:21.493022,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-77
7,DC:A6:32:33:B0:C2,2020-07-04 08:26:22.251717,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-79
8,DC:A6:32:33:B0:C2,2020-07-04 08:26:23.200500,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-73
9,DC:A6:32:33:B0:C2,2020-07-04 08:26:24.296781,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-79
10,DC:A6:32:33:B0:C2,2020-07-04 08:26:25.513250,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-77
11,DC:A6:32:33:B0:C2,2020-07-04 08:26:26.328749,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-72
12,DC:A6:32:33:B0:C2,2020-07-04 08:26:27.251894,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-77
13,DC:A6:32:33:B0:C2,2020-07-04 08:26:28.166911,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-73
14,DC:A6:32:33:B0:C2,2020-07-04 08:26:29.053205,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-74
15,DC:A6:32:33:B0:C2,2020-07-04 08:26:31.058319,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-79
16,DC:A6:32:33:B0:C2,2020-07-04 08:26:32.047149,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-73
17,DC:A6:32:33:B0:C2,2020-07-04 08:26:33.338931,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-72
18,DC:A6:32:33:B0:C2,2020-07-04 08:26:34.137278,8c515a68-bdf1-11ea-9ac9-dca63233b0c1,1,1,1,-74
