SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,6D:51:DC:8A:9B:10,2020-07-05 18:12:53.429820,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-81
1,DC:A6:32:33:B0:C2,2020-07-05 18:12:53.429820,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-56
2,6D:51:DC:8A:9B:10,2020-07-05 18:12:54.669979,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-78
3,DC:A6:32:33:B0:C2,2020-07-05 18:12:54.669979,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-56
4,6D:51:DC:8A:9B:10,2020-07-05 18:12:55.072363,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-81
5,DC:A6:32:33:B0:C2,2020-07-05 18:12:55.072363,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-54
6,DC:A6:32:33:B0:C2,2020-07-05 18:12:57.077624,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-54
7,6D:51:DC:8A:9B:10,2020-07-05 18:12:57.077624,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-81
8,6D:51:DC:8A:9B:10,2020-07-05 18:12:59.082620,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-78
9,DC:A6:32:33:B0:C2,2020-07-05 18:12:59.082620,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-55
10,DC:A6:32:33:B0:C2,2020-07-05 18:13:01.087559,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-56
11,6D:51:DC:8A:9B:10,2020-07-05 18:13:01.087559,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-80
12,6D:51:DC:8A:9B:10,2020-07-05 18:13:03.092487,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-83
13,DC:A6:32:33:B0:C2,2020-07-05 18:13:03.092487,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-55
14,6D:51:DC:8A:9B:10,2020-07-05 18:13:05.097544,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-82
15,DC:A6:32:33:B0:C2,2020-07-05 18:13:05.097544,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-55
16,DC:A6:32:33:B0:C2,2020-07-05 18:13:06.269995,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-54
17,6D:51:DC:8A:9B:10,2020-07-05 18:13:06.269995,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-76
18,6D:51:DC:8A:9B:10,2020-07-05 18:13:07.026237,6ca0c73c-f8ec-4687-9112-41dcb6f28879,28418,61260,200,-83
19,DC:A6:32:33:B0:C2,2020-07-05 18:13:07.026237,aa87a8ae-bf0c-11ea-a08e-dca63233b0c1,1,1,1,-54
