SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-26 18:00:43.942634,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
1,DC:A6:32:33:B0:C2,2020-06-26 18:00:44.073942,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
2,DC:A6:32:33:B0:C2,2020-06-26 18:00:46.079452,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-78
3,DC:A6:32:33:B0:C2,2020-06-26 18:00:47.056950,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-81
4,DC:A6:32:33:B0:C2,2020-06-26 18:00:49.061861,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-81
5,DC:A6:32:33:B0:C2,2020-06-26 18:00:51.066984,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-88
6,DC:A6:32:33:B0:C2,2020-06-26 18:00:53.071989,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
7,DC:A6:32:33:B0:C2,2020-06-26 18:00:54.435632,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-82
8,DC:A6:32:33:B0:C2,2020-06-26 18:00:56.440791,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
9,DC:A6:32:33:B0:C2,2020-06-26 18:00:58.445680,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-83
10,DC:A6:32:33:B0:C2,2020-06-26 18:00:59.849521,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
11,DC:A6:32:33:B0:C2,2020-06-26 18:01:00.270537,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
12,DC:A6:32:33:B0:C2,2020-06-26 18:01:01.355624,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
13,DC:A6:32:33:B0:C2,2020-06-26 18:01:02.620164,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-82
14,DC:A6:32:33:B0:C2,2020-06-26 18:01:03.253168,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-81
15,DC:A6:32:33:B0:C2,2020-06-26 18:01:05.258334,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
16,DC:A6:32:33:B0:C2,2020-06-26 18:01:07.263207,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-77
17,DC:A6:32:33:B0:C2,2020-06-26 18:01:08.147078,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-85
18,DC:A6:32:33:B0:C2,2020-06-26 18:01:10.151990,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
19,DC:A6:32:33:B0:C2,2020-06-26 18:01:12.157130,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-78
20,DC:A6:32:33:B0:C2,2020-06-26 18:01:14.087126,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
21,DC:A6:32:33:B0:C2,2020-06-26 18:01:16.092021,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-81
22,DC:A6:32:33:B0:C2,2020-06-26 18:01:17.529690,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
23,DC:A6:32:33:B0:C2,2020-06-26 18:01:18.079611,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
24,DC:A6:32:33:B0:C2,2020-06-26 18:01:20.084580,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-79
25,DC:A6:32:33:B0:C2,2020-06-26 18:01:22.089515,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
26,DC:A6:32:33:B0:C2,2020-06-26 18:01:24.094749,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
27,DC:A6:32:33:B0:C2,2020-06-26 18:01:26.099645,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-85
28,DC:A6:32:33:B0:C2,2020-06-26 18:01:27.298330,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-78
29,DC:A6:32:33:B0:C2,2020-06-26 18:01:29.303519,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-80
30,DC:A6:32:33:B0:C2,2020-06-26 18:01:30.028366,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-78
31,DC:A6:32:33:B0:C2,2020-06-26 18:01:32.033413,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-77
32,DC:A6:32:33:B0:C2,2020-06-26 18:01:33.548443,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-85
33,DC:A6:32:33:B0:C2,2020-06-26 18:01:35.553619,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-79
34,DC:A6:32:33:B0:C2,2020-06-26 18:01:36.007146,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
35,DC:A6:32:33:B0:C2,2020-06-26 18:01:37.940297,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
36,DC:A6:32:33:B0:C2,2020-06-26 18:01:38.021022,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-84
37,DC:A6:32:33:B0:C2,2020-06-26 18:01:40.026077,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-79
38,DC:A6:32:33:B0:C2,2020-06-26 18:01:42.030458,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-84
39,DC:A6:32:33:B0:C2,2020-06-26 18:01:43.269726,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-85
40,DC:A6:32:33:B0:C2,2020-06-26 18:01:45.274881,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-83
41,DC:A6:32:33:B0:C2,2020-06-26 18:01:47.279905,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
42,DC:A6:32:33:B0:C2,2020-06-26 18:01:48.083545,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-80
43,DC:A6:32:33:B0:C2,2020-06-26 18:01:50.088747,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
44,DC:A6:32:33:B0:C2,2020-06-26 18:01:52.084876,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
45,DC:A6:32:33:B0:C2,2020-06-26 18:01:53.100392,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
46,DC:A6:32:33:B0:C2,2020-06-26 18:01:54.824800,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-78
47,DC:A6:32:33:B0:C2,2020-06-26 18:01:55.054686,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-79
48,DC:A6:32:33:B0:C2,2020-06-26 18:01:57.059934,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-80
49,DC:A6:32:33:B0:C2,2020-06-26 18:01:58.906087,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-76
50,DC:A6:32:33:B0:C2,2020-06-26 18:01:59.007278,78d3cef2-b7f8-11ea-9d41-dca63233b0c1,1,1,1,-75
