SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-20 10:45:36.251047,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
1,DC:A6:32:33:B0:C2,2020-07-20 10:45:38.004999,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
2,DC:A6:32:33:B0:C2,2020-07-20 10:45:39.066336,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
3,DC:A6:32:33:B0:C2,2020-07-20 10:45:41.071403,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
4,DC:A6:32:33:B0:C2,2020-07-20 10:45:43.012165,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
5,DC:A6:32:33:B0:C2,2020-07-20 10:45:44.232096,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
6,DC:A6:32:33:B0:C2,2020-07-20 10:45:45.149151,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
7,DC:A6:32:33:B0:C2,2020-07-20 10:45:46.211595,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-72
8,DC:A6:32:33:B0:C2,2020-07-20 10:45:48.216910,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
9,DC:A6:32:33:B0:C2,2020-07-20 10:45:49.846904,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
10,DC:A6:32:33:B0:C2,2020-07-20 10:45:50.017967,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
11,DC:A6:32:33:B0:C2,2020-07-20 10:45:51.997081,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
12,DC:A6:32:33:B0:C2,2020-07-20 10:45:52.021798,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
13,DC:A6:32:33:B0:C2,2020-07-20 10:45:54.027291,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
14,DC:A6:32:33:B0:C2,2020-07-20 10:45:55.002205,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
15,DC:A6:32:33:B0:C2,2020-07-20 10:45:56.032818,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
16,DC:A6:32:33:B0:C2,2020-07-20 10:45:58.038513,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
17,DC:A6:32:33:B0:C2,2020-07-20 10:45:59.547288,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
18,DC:A6:32:33:B0:C2,2020-07-20 10:46:00.157336,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
19,DC:A6:32:33:B0:C2,2020-07-20 10:46:02.001252,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
20,DC:A6:32:33:B0:C2,2020-07-20 10:46:04.006271,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
21,DC:A6:32:33:B0:C2,2020-07-20 10:46:05.437552,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
22,DC:A6:32:33:B0:C2,2020-07-20 10:46:07.307874,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
23,DC:A6:32:33:B0:C2,2020-07-20 10:46:08.521561,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
24,DC:A6:32:33:B0:C2,2020-07-20 10:46:10.039249,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
25,DC:A6:32:33:B0:C2,2020-07-20 10:46:12.043586,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
26,DC:A6:32:33:B0:C2,2020-07-20 10:46:13.590688,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
27,DC:A6:32:33:B0:C2,2020-07-20 10:46:15.030486,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
28,DC:A6:32:33:B0:C2,2020-07-20 10:46:16.032033,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
29,DC:A6:32:33:B0:C2,2020-07-20 10:46:17.343245,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
30,DC:A6:32:33:B0:C2,2020-07-20 10:46:19.348505,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
31,DC:A6:32:33:B0:C2,2020-07-20 10:46:20.418458,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
32,DC:A6:32:33:B0:C2,2020-07-20 10:46:21.748603,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
33,DC:A6:32:33:B0:C2,2020-07-20 10:46:22.004009,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
34,DC:A6:32:33:B0:C2,2020-07-20 10:46:23.483532,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
35,DC:A6:32:33:B0:C2,2020-07-20 10:46:24.004793,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
36,DC:A6:32:33:B0:C2,2020-07-20 10:46:26.009941,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
37,DC:A6:32:33:B0:C2,2020-07-20 10:46:27.888898,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
38,DC:A6:32:33:B0:C2,2020-07-20 10:46:28.036173,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
39,DC:A6:32:33:B0:C2,2020-07-20 10:46:30.041398,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
40,DC:A6:32:33:B0:C2,2020-07-20 10:46:31.881589,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
41,DC:A6:32:33:B0:C2,2020-07-20 10:46:32.063895,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
42,DC:A6:32:33:B0:C2,2020-07-20 10:46:33.159018,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
43,DC:A6:32:33:B0:C2,2020-07-20 10:46:34.520488,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
44,DC:A6:32:33:B0:C2,2020-07-20 10:46:35.571640,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
45,DC:A6:32:33:B0:C2,2020-07-20 10:46:36.691848,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
46,DC:A6:32:33:B0:C2,2020-07-20 10:46:37.061676,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
47,DC:A6:32:33:B0:C2,2020-07-20 10:46:39.066920,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-68
48,DC:A6:32:33:B0:C2,2020-07-20 10:46:40.010752,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
49,DC:A6:32:33:B0:C2,2020-07-20 10:46:41.369519,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
50,DC:A6:32:33:B0:C2,2020-07-20 10:46:42.069470,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
51,DC:A6:32:33:B0:C2,2020-07-20 10:46:44.074736,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
52,DC:A6:32:33:B0:C2,2020-07-20 10:46:45.090865,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-72
53,DC:A6:32:33:B0:C2,2020-07-20 10:46:47.096137,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
54,DC:A6:32:33:B0:C2,2020-07-20 10:46:49.101232,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
55,DC:A6:32:33:B0:C2,2020-07-20 10:46:51.106206,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
56,DC:A6:32:33:B0:C2,2020-07-20 10:46:52.077613,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
57,DC:A6:32:33:B0:C2,2020-07-20 10:46:54.082594,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
58,DC:A6:32:33:B0:C2,2020-07-20 10:46:55.242784,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
59,DC:A6:32:33:B0:C2,2020-07-20 10:46:57.247769,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
60,DC:A6:32:33:B0:C2,2020-07-20 10:46:59.240263,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
61,DC:A6:32:33:B0:C2,2020-07-20 10:47:01.245579,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
62,DC:A6:32:33:B0:C2,2020-07-20 10:47:03.250610,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-68
63,DC:A6:32:33:B0:C2,2020-07-20 10:47:04.345710,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
64,DC:A6:32:33:B0:C2,2020-07-20 10:47:05.034319,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
65,DC:A6:32:33:B0:C2,2020-07-20 10:47:06.374420,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
66,DC:A6:32:33:B0:C2,2020-07-20 10:47:07.067111,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
67,DC:A6:32:33:B0:C2,2020-07-20 10:47:09.072080,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
68,DC:A6:32:33:B0:C2,2020-07-20 10:47:11.077143,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
69,DC:A6:32:33:B0:C2,2020-07-20 10:47:12.094593,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
70,DC:A6:32:33:B0:C2,2020-07-20 10:47:13.564870,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
71,DC:A6:32:33:B0:C2,2020-07-20 10:47:15.568611,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-71
72,DC:A6:32:33:B0:C2,2020-07-20 10:47:16.946303,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
73,DC:A6:32:33:B0:C2,2020-07-20 10:47:17.116829,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
74,DC:A6:32:33:B0:C2,2020-07-20 10:47:19.122682,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
75,DC:A6:32:33:B0:C2,2020-07-20 10:47:20.223818,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
76,DC:A6:32:33:B0:C2,2020-07-20 10:47:22.015020,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-69
77,DC:A6:32:33:B0:C2,2020-07-20 10:47:24.020323,ab2ee36c-ca97-11ea-9d11-dca63233b0c1,1,1,1,-70
