SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-27 11:36:36.855754,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-62
1,DC:A6:32:33:B0:C2,2020-06-27 11:36:37.098679,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
2,DC:A6:32:33:B0:C2,2020-06-27 11:36:38.597245,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
3,DC:A6:32:33:B0:C2,2020-06-27 11:36:39.937070,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
4,DC:A6:32:33:B0:C2,2020-06-27 11:36:40.027715,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
5,DC:A6:32:33:B0:C2,2020-06-27 11:36:41.112790,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
6,DC:A6:32:33:B0:C2,2020-06-27 11:36:42.862968,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
7,DC:A6:32:33:B0:C2,2020-06-27 11:36:43.295309,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
8,DC:A6:32:33:B0:C2,2020-06-27 11:36:44.186602,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
9,DC:A6:32:33:B0:C2,2020-06-27 11:36:45.251586,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-62
10,DC:A6:32:33:B0:C2,2020-06-27 11:36:46.340958,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
11,DC:A6:32:33:B0:C2,2020-06-27 11:36:48.064254,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
12,DC:A6:32:33:B0:C2,2020-06-27 11:36:50.069241,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
13,DC:A6:32:33:B0:C2,2020-06-27 11:36:51.311626,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
14,DC:A6:32:33:B0:C2,2020-06-27 11:36:52.185390,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
15,DC:A6:32:33:B0:C2,2020-06-27 11:36:53.067220,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
16,DC:A6:32:33:B0:C2,2020-06-27 11:36:54.047913,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-62
17,DC:A6:32:33:B0:C2,2020-06-27 11:36:55.319077,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
18,DC:A6:32:33:B0:C2,2020-06-27 11:36:56.134051,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-63
19,DC:A6:32:33:B0:C2,2020-06-27 11:36:58.139306,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
20,DC:A6:32:33:B0:C2,2020-06-27 11:36:59.502940,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-60
21,DC:A6:32:33:B0:C2,2020-06-27 11:37:00.886829,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
22,DC:A6:32:33:B0:C2,2020-06-27 11:37:01.017195,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-62
23,DC:A6:32:33:B0:C2,2020-06-27 11:37:03.022961,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
24,DC:A6:32:33:B0:C2,2020-06-27 11:37:04.065588,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
25,DC:A6:32:33:B0:C2,2020-06-27 11:37:05.102998,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-59
26,DC:A6:32:33:B0:C2,2020-06-27 11:37:07.108121,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
27,DC:A6:32:33:B0:C2,2020-06-27 11:37:08.366810,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
28,DC:A6:32:33:B0:C2,2020-06-27 11:37:10.371963,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-63
29,DC:A6:32:33:B0:C2,2020-06-27 11:37:11.222937,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
30,DC:A6:32:33:B0:C2,2020-06-27 11:37:12.283018,fa78906c-b88b-11ea-961f-dca63233b0c1,1,1,1,-61
