SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-02 14:34:28.160223,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
1,DC:A6:32:33:B0:C2,2020-07-02 14:34:29.790174,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-72
2,DC:A6:32:33:B0:C2,2020-07-02 14:34:30.208831,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-73
3,DC:A6:32:33:B0:C2,2020-07-02 14:34:31.237509,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-70
4,DC:A6:32:33:B0:C2,2020-07-02 14:34:32.108908,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-77
5,DC:A6:32:33:B0:C2,2020-07-02 14:34:33.420056,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-80
6,DC:A6:32:33:B0:C2,2020-07-02 14:34:34.112605,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
7,DC:A6:32:33:B0:C2,2020-07-02 14:34:36.117710,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
8,DC:A6:32:33:B0:C2,2020-07-02 14:34:37.087579,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
9,DC:A6:32:33:B0:C2,2020-07-02 14:34:39.092734,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
10,DC:A6:32:33:B0:C2,2020-07-02 14:34:40.398896,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-77
11,DC:A6:32:33:B0:C2,2020-07-02 14:34:41.851361,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
12,DC:A6:32:33:B0:C2,2020-07-02 14:34:42.007521,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
13,DC:A6:32:33:B0:C2,2020-07-02 14:34:43.488834,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-75
14,DC:A6:32:33:B0:C2,2020-07-02 14:34:44.440283,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
15,DC:A6:32:33:B0:C2,2020-07-02 14:34:46.445331,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-75
16,DC:A6:32:33:B0:C2,2020-07-02 14:34:47.119058,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
17,DC:A6:32:33:B0:C2,2020-07-02 14:34:48.302730,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
18,DC:A6:32:33:B0:C2,2020-07-02 14:34:49.096499,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-79
19,DC:A6:32:33:B0:C2,2020-07-02 14:34:50.437847,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-75
20,DC:A6:32:33:B0:C2,2020-07-02 14:34:51.347743,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
21,DC:A6:32:33:B0:C2,2020-07-02 14:34:52.074552,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
22,DC:A6:32:33:B0:C2,2020-07-02 14:34:53.167873,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
23,DC:A6:32:33:B0:C2,2020-07-02 14:34:54.030280,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-75
24,DC:A6:32:33:B0:C2,2020-07-02 14:34:55.117785,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-77
25,DC:A6:32:33:B0:C2,2020-07-02 14:34:57.122898,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-76
26,DC:A6:32:33:B0:C2,2020-07-02 14:34:58.067032,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-75
27,DC:A6:32:33:B0:C2,2020-07-02 14:34:59.190369,a7bfb08e-bc92-11ea-a3de-dca63233b0c1,1,1,1,-78
