SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-02 13:45:36.005735,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-72
1,DC:A6:32:33:B0:C2,2020-07-02 13:45:37.438565,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-68
2,DC:A6:32:33:B0:C2,2020-07-02 13:45:39.443583,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-72
3,DC:A6:32:33:B0:C2,2020-07-02 13:45:40.116102,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-72
4,DC:A6:32:33:B0:C2,2020-07-02 13:45:42.121176,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-68
5,DC:A6:32:33:B0:C2,2020-07-02 13:45:43.407401,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
6,DC:A6:32:33:B0:C2,2020-07-02 13:45:44.736205,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
7,DC:A6:32:33:B0:C2,2020-07-02 13:45:45.052519,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-68
8,DC:A6:32:33:B0:C2,2020-07-02 13:45:46.267412,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-68
9,DC:A6:32:33:B0:C2,2020-07-02 13:45:47.054204,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-07-02 13:45:49.058794,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
11,DC:A6:32:33:B0:C2,2020-07-02 13:45:50.018671,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
12,DC:A6:32:33:B0:C2,2020-07-02 13:45:52.023743,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-72
13,DC:A6:32:33:B0:C2,2020-07-02 13:45:53.187341,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-72
14,DC:A6:32:33:B0:C2,2020-07-02 13:45:54.006100,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-69
15,DC:A6:32:33:B0:C2,2020-07-02 13:45:56.010096,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
16,DC:A6:32:33:B0:C2,2020-07-02 13:45:57.306300,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-69
17,DC:A6:32:33:B0:C2,2020-07-02 13:45:59.045025,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-67
18,DC:A6:32:33:B0:C2,2020-07-02 13:46:00.335171,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-69
19,DC:A6:32:33:B0:C2,2020-07-02 13:46:01.306307,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-74
20,DC:A6:32:33:B0:C2,2020-07-02 13:46:02.913737,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-75
21,DC:A6:32:33:B0:C2,2020-07-02 13:46:03.009881,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-74
22,DC:A6:32:33:B0:C2,2020-07-02 13:46:04.036429,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-68
23,DC:A6:32:33:B0:C2,2020-07-02 13:46:06.040723,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-66
24,DC:A6:32:33:B0:C2,2020-07-02 13:46:07.618954,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-69
25,DC:A6:32:33:B0:C2,2020-07-02 13:46:08.074970,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-66
26,DC:A6:32:33:B0:C2,2020-07-02 13:46:09.807704,d3e59360-bc8b-11ea-8d05-dca63233b0c1,1,1,1,-70
