SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-22 18:02:53.222670,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-60
1,DC:A6:32:33:B0:C2,2020-07-22 18:02:54.420314,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-60
2,DC:A6:32:33:B0:C2,2020-07-22 18:02:56.425460,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-55
3,DC:A6:32:33:B0:C2,2020-07-22 18:02:57.171519,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-58
4,DC:A6:32:33:B0:C2,2020-07-22 18:02:58.613501,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-56
5,DC:A6:32:33:B0:C2,2020-07-22 18:02:59.123567,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-56
6,DC:A6:32:33:B0:C2,2020-07-22 18:03:01.127908,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-57
7,DC:A6:32:33:B0:C2,2020-07-22 18:03:02.393040,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-57
8,DC:A6:32:33:B0:C2,2020-07-22 18:03:03.470437,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-56
9,DC:A6:32:33:B0:C2,2020-07-22 18:03:04.040431,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-58
10,DC:A6:32:33:B0:C2,2020-07-22 18:03:05.019217,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-57
11,DC:A6:32:33:B0:C2,2020-07-22 18:03:06.051746,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-57
12,DC:A6:32:33:B0:C2,2020-07-22 18:03:07.569256,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-61
13,DC:A6:32:33:B0:C2,2020-07-22 18:03:08.740483,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-61
14,DC:A6:32:33:B0:C2,2020-07-22 18:03:09.192960,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-58
15,DC:A6:32:33:B0:C2,2020-07-22 18:03:11.198255,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-59
16,DC:A6:32:33:B0:C2,2020-07-22 18:03:13.203174,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-60
17,DC:A6:32:33:B0:C2,2020-07-22 18:03:14.578310,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-57
18,DC:A6:32:33:B0:C2,2020-07-22 18:03:15.475705,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-55
19,DC:A6:32:33:B0:C2,2020-07-22 18:03:16.520752,168f06f2-cc67-11ea-9b90-dca63233b0c1,1,1,1,-58
