SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-22 15:20:24.576916,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-77
1,DC:A6:32:33:B0:C2,2020-07-22 15:20:25.062995,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-76
2,DC:A6:32:33:B0:C2,2020-07-22 15:20:26.208288,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-79
3,DC:A6:32:33:B0:C2,2020-07-22 15:20:27.101820,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-82
4,DC:A6:32:33:B0:C2,2020-07-22 15:20:28.833773,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-77
5,DC:A6:32:33:B0:C2,2020-07-22 15:20:29.019070,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-74
6,DC:A6:32:33:B0:C2,2020-07-22 15:20:30.387702,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-73
7,DC:A6:32:33:B0:C2,2020-07-22 15:20:32.035248,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-76
8,DC:A6:32:33:B0:C2,2020-07-22 15:20:33.797538,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-72
9,DC:A6:32:33:B0:C2,2020-07-22 15:20:34.179861,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-71
10,DC:A6:32:33:B0:C2,2020-07-22 15:20:35.152287,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-72
11,DC:A6:32:33:B0:C2,2020-07-22 15:20:37.157217,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-71
12,DC:A6:32:33:B0:C2,2020-07-22 15:20:38.096339,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-72
13,DC:A6:32:33:B0:C2,2020-07-22 15:20:39.242621,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-79
14,DC:A6:32:33:B0:C2,2020-07-22 15:20:40.846787,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-73
15,DC:A6:32:33:B0:C2,2020-07-22 15:20:41.061600,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-73
16,DC:A6:32:33:B0:C2,2020-07-22 15:20:42.217960,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-70
17,DC:A6:32:33:B0:C2,2020-07-22 15:20:43.620182,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-80
18,DC:A6:32:33:B0:C2,2020-07-22 15:20:44.136298,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-80
19,DC:A6:32:33:B0:C2,2020-07-22 15:20:45.581220,63f2907e-cc50-11ea-a97e-dca63233b0c1,1,1,1,-80
