SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-04 12:23:41.183723,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-47
1,DC:A6:32:33:B0:C2,2020-07-04 12:23:43.189099,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-44
2,DC:A6:32:33:B0:C2,2020-07-04 12:23:44.207654,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-44
3,DC:A6:32:33:B0:C2,2020-07-04 12:23:46.032833,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-43
4,DC:A6:32:33:B0:C2,2020-07-04 12:23:48.037700,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-43
5,DC:A6:32:33:B0:C2,2020-07-04 12:23:50.042714,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-43
6,DC:A6:32:33:B0:C2,2020-07-04 12:23:51.063298,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-45
7,DC:A6:32:33:B0:C2,2020-07-04 12:23:53.067738,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
8,DC:A6:32:33:B0:C2,2020-07-04 12:23:55.072848,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
9,DC:A6:32:33:B0:C2,2020-07-04 12:23:56.083306,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
10,DC:A6:32:33:B0:C2,2020-07-04 12:23:57.101431,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
11,DC:A6:32:33:B0:C2,2020-07-04 12:23:58.390213,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
12,DC:A6:32:33:B0:C2,2020-07-04 12:23:59.681403,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-46
13,DC:A6:32:33:B0:C2,2020-07-04 12:24:00.044700,b6b9fbf4-be12-11ea-a896-dca63233b0c1,1,1,1,-43
