SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-05 17:22:42.689775,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
1,DC:A6:32:33:B0:C2,2020-07-05 17:22:43.021242,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
2,DC:A6:32:33:B0:C2,2020-07-05 17:22:44.111652,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-71
3,DC:A6:32:33:B0:C2,2020-07-05 17:22:45.064269,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
4,DC:A6:32:33:B0:C2,2020-07-05 17:22:46.116651,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
5,DC:A6:32:33:B0:C2,2020-07-05 17:22:47.250331,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
6,DC:A6:32:33:B0:C2,2020-07-05 17:22:48.868074,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-77
7,DC:A6:32:33:B0:C2,2020-07-05 17:22:49.049704,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-71
8,DC:A6:32:33:B0:C2,2020-07-05 17:22:51.055636,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-74
9,DC:A6:32:33:B0:C2,2020-07-05 17:22:53.060616,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-71
10,DC:A6:32:33:B0:C2,2020-07-05 17:22:54.092533,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-77
11,DC:A6:32:33:B0:C2,2020-07-05 17:22:55.500566,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
12,DC:A6:32:33:B0:C2,2020-07-05 17:22:56.119274,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-77
13,DC:A6:32:33:B0:C2,2020-07-05 17:22:57.014445,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-79
14,DC:A6:32:33:B0:C2,2020-07-05 17:22:58.020573,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
15,DC:A6:32:33:B0:C2,2020-07-05 17:22:59.129364,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-77
16,DC:A6:32:33:B0:C2,2020-07-05 17:23:00.465108,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
17,DC:A6:32:33:B0:C2,2020-07-05 17:23:01.919442,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-79
18,DC:A6:32:33:B0:C2,2020-07-05 17:23:02.040554,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-75
19,DC:A6:32:33:B0:C2,2020-07-05 17:23:03.015792,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
20,DC:A6:32:33:B0:C2,2020-07-05 17:23:04.569456,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
21,DC:A6:32:33:B0:C2,2020-07-05 17:23:05.034404,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
22,DC:A6:32:33:B0:C2,2020-07-05 17:23:06.044593,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
23,DC:A6:32:33:B0:C2,2020-07-05 17:23:07.089496,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-73
24,DC:A6:32:33:B0:C2,2020-07-05 17:23:08.139456,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
25,DC:A6:32:33:B0:C2,2020-07-05 17:23:09.244510,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
26,DC:A6:32:33:B0:C2,2020-07-05 17:23:10.467023,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-71
27,DC:A6:32:33:B0:C2,2020-07-05 17:23:12.472240,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-70
28,DC:A6:32:33:B0:C2,2020-07-05 17:23:14.412717,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
29,DC:A6:32:33:B0:C2,2020-07-05 17:23:15.279514,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-70
30,DC:A6:32:33:B0:C2,2020-07-05 17:23:16.160763,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-79
31,DC:A6:32:33:B0:C2,2020-07-05 17:23:18.166028,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
32,DC:A6:32:33:B0:C2,2020-07-05 17:23:19.960278,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
33,DC:A6:32:33:B0:C2,2020-07-05 17:23:20.008315,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-76
34,DC:A6:32:33:B0:C2,2020-07-05 17:23:22.013617,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
35,DC:A6:32:33:B0:C2,2020-07-05 17:23:24.018663,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
36,DC:A6:32:33:B0:C2,2020-07-05 17:23:25.384832,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-78
37,DC:A6:32:33:B0:C2,2020-07-05 17:23:26.094867,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-71
38,DC:A6:32:33:B0:C2,2020-07-05 17:23:27.674933,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-74
39,DC:A6:32:33:B0:C2,2020-07-05 17:23:28.734864,a88eee6a-bf05-11ea-b5e3-dca63233b0c1,1,1,1,-72
