Distance,No_Obstructions,Short_A,Short_S,2_Shorts,Jean_A,Jean_S,2_Jeans,Shelf_M,Human_A
0.0,-35.5,-36.95,-36.55,-39.79,-38.04,-33.9,-36.32,-55.95,-47.01
3.5,-44.54,-55.26,-44.37,-52.36,-45.04,-48.89,-42.36,-58.13,-55.28
7.0,-44.24,-47.76,-48.62,-49.82,-51.08,-51.23,-47.38,-66.76,-66.66
10.5,-43.79,-51.78,-48.96,-60.27,-53.98,-67.54,-54.46,-60.99,-57.47
14.0,-50.72,-56.07,-63.35,-56.63,-56.81,-67.3,-62.12,-62.35,-65.53
17.5,-53.25,-66.0,-59.24,-62.82,-56.68,-70.69,-68.7,-67.47,-73.92
21.0,-56.79,-57.31,-62.71,-66.49,-59.86,-68.71,-62.29,-64.44,-66.83
24.5,-75.93,-60.9,-62.33,-63.11,-64.68,-65.56,-61.55,-66.47,-73.72
28.0,-64.87,-73.98,-65.75,-65.41,-69.21,-72.12,-66.86,-71.04,-72.45
31.5,-65.94,-58.32,-69.08,-71.03,-71.43,-71.83,-63.54,-79.7,-72.43
35.0,-69.91,-67.81,-72.82,-68.47,-71.75,-68.91,-64.66,-73.4,-72.85
38.5,-64.02,-67.03,-71.03,-67.73,-73.09,-71.48,-74.77,-77.72,-70.89
42.0,-69.5,-75.8,-66.83,-66.23,-66.25,-68.94,-68.83,-70.21,-74.46
45.5,-66.67,-73.45,-66.77,-69.87,-69.6,-67.22,-69.76,-71.88,-70.91
49.0,-67.48,-70.22,-69.13,-65.78,-67.7,-69.06,-68.62,-71.08,-77.94
52.5,-72.34,-71.28,-71.83,-69.75,-72.18,-70.49,-72.05,-73.95,-75.36
56.0,-73.27,-66.24,-70.71,-69.64,-71.88,-68.99,-70.13,-71.04,-71.65
59.5,-69.06,-72.94,-72.81,-69.19,-70.63,-75.24,-71.5,-70.38,-71.93
63.0,-78.18,-71.21,-67.62,-68.39,-65.76,-67.41,-65.57,-72.7,-70.12
66.5,-78.32,-68.61,-66.41,-69.93,-70.16,-68.0,-67.05,-72.39,-72.66
70.0,-71.19,-74.17,-68.34,-64.68,-70.05,-69.55,-70.67,-72.24,-71.65
72.0,-69.78,-71.48,-71.19,-70.81,-70.26,-68.69,-68.95,-70.28,-70.19
73.5,-71.58,-71.47,-74.28,-70.34,-73.55,-76.08,-71.99,-80.75,-75.68
77.0,-71.17,-69.0,-70.0,-74.41,-71.21,-68.05,-69.4,-70.51,-70.31
80.5,-81.56,-72.15,-69.23,-71.62,-73.29,-73.26,-67.79,-72.58,-73.74
84.0,-78.2,-70.3,-72.32,-72.34,-68.05,-71.28,-72.2,-66.94,-77.92
87.5,-70.15,-66.87,-71.84,-67.52,-72.57,-75.05,-69.66,-71.57,-78.74
91.0,-75.19,-72.49,-70.69,-67.47,-74.59,-75.01,-66.21,-73.62,-73.46
94.5,-69.83,-68.28,-69.13,-70.74,-77.12,-71.73,-75.31,-76.35,-77.38
98.0,-69.1,-70.41,-69.62,-69.22,-70.79,-71.59,-70.17,-70.08,-73.4
101.5,-68.03,-66.79,-71.7,-69.09,-70.99,-72.09,-67.56,-70.55,-75.49
105.0,-65.05,-73.6,-69.77,-69.05,-68.87,-69.47,-68.6,-72.93,-73.93
108.5,-71.05,-70.57,-68.64,-65.91,-67.73,-70.75,-68.59,-73.73,-73.98
112.0,-69.63,-69.4,-73.62,-67.36,-68.56,-76.31,-69.77,-72.17,-76.79
115.5,-74.12,-65.78,-67.82,-66.32,-74.04,-67.91,-68.64,-74.25,-75.85
119.0,-72.75,-74.5,-67.62,-69.14,-68.99,-66.4,-68.86,-83.79,-70.94
122.5,-73.51,-61.39,-71.68,-69.59,-71.48,-75.05,-71.42,-78.65,-73.85
126.0,-70.3,-67.9,-73.12,-68.1,-71.48,-72.34,-70.39,-76.02,-75.84
129.5,-70.85,-74.72,-77.4,-73.89,-67.86,-74.95,-73.65,-74.52,-74.4
133.0,-73.21,-73.12,-74.89,-74.2,-74.79,-69.84,-73.19,,-76.4
136.5,-75.37,-69.93,-68.65,-66.77,-72.37,-71.48,-69.32,,-81.52
140.0,-75.54,-74.7,-76.26,-78.01,-73.68,-71.03,-76.53,,-79.91
143.5,-76.3,-71.59,-72.77,-76.46,-78.87,-80.95,-76.67,,
144.0,-72.62,-77.53,-73.87,-73.38,-78.58,-80.03,-77.11,,
