SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-22 09:33:31.100954,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
1,DC:A6:32:33:B0:C2,2020-07-22 09:33:33.106608,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-73
2,DC:A6:32:33:B0:C2,2020-07-22 09:33:34.234755,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
3,DC:A6:32:33:B0:C2,2020-07-22 09:33:35.582981,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
4,DC:A6:32:33:B0:C2,2020-07-22 09:33:37.159507,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
5,DC:A6:32:33:B0:C2,2020-07-22 09:33:38.533930,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
6,DC:A6:32:33:B0:C2,2020-07-22 09:33:39.640088,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
7,DC:A6:32:33:B0:C2,2020-07-22 09:33:40.734968,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
8,DC:A6:32:33:B0:C2,2020-07-22 09:33:41.018243,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
9,DC:A6:32:33:B0:C2,2020-07-22 09:33:42.659547,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
10,DC:A6:32:33:B0:C2,2020-07-22 09:33:43.725253,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-71
11,DC:A6:32:33:B0:C2,2020-07-22 09:33:45.694506,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-73
12,DC:A6:32:33:B0:C2,2020-07-22 09:33:46.165137,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
13,DC:A6:32:33:B0:C2,2020-07-22 09:33:47.332628,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
14,DC:A6:32:33:B0:C2,2020-07-22 09:33:49.336978,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-67
15,DC:A6:32:33:B0:C2,2020-07-22 09:33:51.340951,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-73
16,DC:A6:32:33:B0:C2,2020-07-22 09:33:52.806286,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
17,DC:A6:32:33:B0:C2,2020-07-22 09:33:53.027248,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
18,DC:A6:32:33:B0:C2,2020-07-22 09:33:55.032041,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
19,DC:A6:32:33:B0:C2,2020-07-22 09:33:57.014044,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-72
20,DC:A6:32:33:B0:C2,2020-07-22 09:33:58.151281,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
21,DC:A6:32:33:B0:C2,2020-07-22 09:34:00.149330,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-66
22,DC:A6:32:33:B0:C2,2020-07-22 09:34:02.154129,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-76
23,DC:A6:32:33:B0:C2,2020-07-22 09:34:04.160324,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
24,DC:A6:32:33:B0:C2,2020-07-22 09:34:05.447017,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
25,DC:A6:32:33:B0:C2,2020-07-22 09:34:07.451868,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-72
26,DC:A6:32:33:B0:C2,2020-07-22 09:34:08.158221,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
27,DC:A6:32:33:B0:C2,2020-07-22 09:34:10.164147,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
28,DC:A6:32:33:B0:C2,2020-07-22 09:34:11.776396,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
29,DC:A6:32:33:B0:C2,2020-07-22 09:34:12.252791,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
30,DC:A6:32:33:B0:C2,2020-07-22 09:34:13.144885,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
31,DC:A6:32:33:B0:C2,2020-07-22 09:34:15.150190,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
32,DC:A6:32:33:B0:C2,2020-07-22 09:34:17.153464,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
33,DC:A6:32:33:B0:C2,2020-07-22 09:34:18.113060,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
34,DC:A6:32:33:B0:C2,2020-07-22 09:34:20.117663,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
35,DC:A6:32:33:B0:C2,2020-07-22 09:34:22.025651,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-72
36,DC:A6:32:33:B0:C2,2020-07-22 09:34:23.037645,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
37,DC:A6:32:33:B0:C2,2020-07-22 09:34:25.043135,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-71
38,DC:A6:32:33:B0:C2,2020-07-22 09:34:27.048543,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-71
39,DC:A6:32:33:B0:C2,2020-07-22 09:34:29.053977,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
40,DC:A6:32:33:B0:C2,2020-07-22 09:34:31.059486,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-71
41,DC:A6:32:33:B0:C2,2020-07-22 09:34:32.376968,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
42,DC:A6:32:33:B0:C2,2020-07-22 09:34:33.749743,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
43,DC:A6:32:33:B0:C2,2020-07-22 09:34:35.755206,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
44,DC:A6:32:33:B0:C2,2020-07-22 09:34:36.429900,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
45,DC:A6:32:33:B0:C2,2020-07-22 09:34:38.434248,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
46,DC:A6:32:33:B0:C2,2020-07-22 09:34:40.439985,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
47,DC:A6:32:33:B0:C2,2020-07-22 09:34:42.445517,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-68
48,DC:A6:32:33:B0:C2,2020-07-22 09:34:43.227670,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
49,DC:A6:32:33:B0:C2,2020-07-22 09:34:45.232253,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
50,DC:A6:32:33:B0:C2,2020-07-22 09:34:47.237861,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
51,DC:A6:32:33:B0:C2,2020-07-22 09:34:48.127662,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-71
52,DC:A6:32:33:B0:C2,2020-07-22 09:34:49.408493,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
53,DC:A6:32:33:B0:C2,2020-07-22 09:34:51.050533,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-69
54,DC:A6:32:33:B0:C2,2020-07-22 09:34:52.033920,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
55,DC:A6:32:33:B0:C2,2020-07-22 09:34:53.554777,ecf6bc32-cc1f-11ea-b260-dca63233b0c1,1,1,1,-70
