SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-26 16:28:24.432240,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
1,DC:A6:32:33:B0:C2,2020-06-26 16:28:26.437962,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-70
2,DC:A6:32:33:B0:C2,2020-06-26 16:28:28.442818,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
3,DC:A6:32:33:B0:C2,2020-06-26 16:28:29.082778,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-66
4,DC:A6:32:33:B0:C2,2020-06-26 16:28:31.087816,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
5,DC:A6:32:33:B0:C2,2020-06-26 16:28:32.904190,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
6,DC:A6:32:33:B0:C2,2020-06-26 16:28:33.140213,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
7,DC:A6:32:33:B0:C2,2020-06-26 16:28:35.145494,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
8,DC:A6:32:33:B0:C2,2020-06-26 16:28:37.150401,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
9,DC:A6:32:33:B0:C2,2020-06-26 16:28:39.155479,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-06-26 16:28:40.761723,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
11,DC:A6:32:33:B0:C2,2020-06-26 16:28:41.026532,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
12,DC:A6:32:33:B0:C2,2020-06-26 16:28:42.112894,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
13,DC:A6:32:33:B0:C2,2020-06-26 16:28:44.118022,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
14,DC:A6:32:33:B0:C2,2020-06-26 16:28:46.122931,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
15,DC:A6:32:33:B0:C2,2020-06-26 16:28:48.127391,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-69
16,DC:A6:32:33:B0:C2,2020-06-26 16:28:50.133053,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-71
17,DC:A6:32:33:B0:C2,2020-06-26 16:28:52.006656,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-70
18,DC:A6:32:33:B0:C2,2020-06-26 16:28:54.011803,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
19,DC:A6:32:33:B0:C2,2020-06-26 16:28:56.016840,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-67
20,DC:A6:32:33:B0:C2,2020-06-26 16:28:58.021757,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-72
21,DC:A6:32:33:B0:C2,2020-06-26 16:29:00.026855,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-66
22,DC:A6:32:33:B0:C2,2020-06-26 16:29:02.031859,935d07aa-b7eb-11ea-afd4-dca63233b0c1,1,1,1,-66
