SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-06-27 16:18:03.052703,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-66
1,DC:A6:32:33:B0:C2,2020-06-27 16:18:05.058295,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
2,DC:A6:32:33:B0:C2,2020-06-27 16:18:06.094516,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-66
3,DC:A6:32:33:B0:C2,2020-06-27 16:18:08.099750,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-91
4,DC:A6:32:33:B0:C2,2020-06-27 16:18:10.104779,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-89
5,DC:A6:32:33:B0:C2,2020-06-27 16:18:11.479148,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-71
6,DC:A6:32:33:B0:C2,2020-06-27 16:18:13.483840,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-71
7,DC:A6:32:33:B0:C2,2020-06-27 16:18:15.157551,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
8,DC:A6:32:33:B0:C2,2020-06-27 16:18:17.162810,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
9,DC:A6:32:33:B0:C2,2020-06-27 16:18:19.167794,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
10,DC:A6:32:33:B0:C2,2020-06-27 16:18:20.593013,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
11,DC:A6:32:33:B0:C2,2020-06-27 16:18:21.206669,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
12,DC:A6:32:33:B0:C2,2020-06-27 16:18:23.211934,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
13,DC:A6:32:33:B0:C2,2020-06-27 16:18:25.216960,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-93
14,DC:A6:32:33:B0:C2,2020-06-27 16:18:26.454611,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
15,DC:A6:32:33:B0:C2,2020-06-27 16:18:28.459738,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
16,DC:A6:32:33:B0:C2,2020-06-27 16:18:29.823480,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
17,DC:A6:32:33:B0:C2,2020-06-27 16:18:30.360027,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
18,DC:A6:32:33:B0:C2,2020-06-27 16:18:31.174774,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
19,DC:A6:32:33:B0:C2,2020-06-27 16:18:33.088523,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
20,DC:A6:32:33:B0:C2,2020-06-27 16:18:35.093930,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-95
21,DC:A6:32:33:B0:C2,2020-06-27 16:18:36.457634,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
22,DC:A6:32:33:B0:C2,2020-06-27 16:18:37.218875,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
23,DC:A6:32:33:B0:C2,2020-06-27 16:18:39.224170,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
24,DC:A6:32:33:B0:C2,2020-06-27 16:18:40.963038,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
25,DC:A6:32:33:B0:C2,2020-06-27 16:18:41.029027,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
26,DC:A6:32:33:B0:C2,2020-06-27 16:18:42.245449,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
27,DC:A6:32:33:B0:C2,2020-06-27 16:18:44.211318,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
28,DC:A6:32:33:B0:C2,2020-06-27 16:18:46.025799,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
29,DC:A6:32:33:B0:C2,2020-06-27 16:18:47.084027,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-92
30,DC:A6:32:33:B0:C2,2020-06-27 16:18:48.245881,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
31,DC:A6:32:33:B0:C2,2020-06-27 16:18:49.387127,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
32,DC:A6:32:33:B0:C2,2020-06-27 16:18:51.391800,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
33,DC:A6:32:33:B0:C2,2020-06-27 16:18:52.737465,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
34,DC:A6:32:33:B0:C2,2020-06-27 16:18:53.052342,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
35,DC:A6:32:33:B0:C2,2020-06-27 16:18:54.068692,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
36,DC:A6:32:33:B0:C2,2020-06-27 16:18:55.531291,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
37,DC:A6:32:33:B0:C2,2020-06-27 16:18:56.428977,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-92
38,DC:A6:32:33:B0:C2,2020-06-27 16:18:58.433986,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
39,DC:A6:32:33:B0:C2,2020-06-27 16:18:59.024722,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
40,DC:A6:32:33:B0:C2,2020-06-27 16:19:00.221597,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
41,DC:A6:32:33:B0:C2,2020-06-27 16:19:01.171689,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
42,DC:A6:32:33:B0:C2,2020-06-27 16:19:02.298081,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
43,DC:A6:32:33:B0:C2,2020-06-27 16:19:03.353663,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
44,DC:A6:32:33:B0:C2,2020-06-27 16:19:05.252008,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-68
45,DC:A6:32:33:B0:C2,2020-06-27 16:19:07.127046,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
46,DC:A6:32:33:B0:C2,2020-06-27 16:19:08.005931,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
47,DC:A6:32:33:B0:C2,2020-06-27 16:19:09.332751,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-90
48,DC:A6:32:33:B0:C2,2020-06-27 16:19:10.008384,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-90
49,DC:A6:32:33:B0:C2,2020-06-27 16:19:12.013707,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
50,DC:A6:32:33:B0:C2,2020-06-27 16:19:13.651224,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
51,DC:A6:32:33:B0:C2,2020-06-27 16:19:14.567514,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
52,DC:A6:32:33:B0:C2,2020-06-27 16:19:15.331217,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-91
53,DC:A6:32:33:B0:C2,2020-06-27 16:19:17.021249,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
54,DC:A6:32:33:B0:C2,2020-06-27 16:19:19.025320,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
55,DC:A6:32:33:B0:C2,2020-06-27 16:19:21.030546,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
56,DC:A6:32:33:B0:C2,2020-06-27 16:19:22.229152,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
57,DC:A6:32:33:B0:C2,2020-06-27 16:19:24.233815,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
58,DC:A6:32:33:B0:C2,2020-06-27 16:19:25.513737,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-91
59,DC:A6:32:33:B0:C2,2020-06-27 16:19:27.519637,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-88
60,DC:A6:32:33:B0:C2,2020-06-27 16:19:28.095765,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
61,DC:A6:32:33:B0:C2,2020-06-27 16:19:29.896018,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
62,DC:A6:32:33:B0:C2,2020-06-27 16:19:30.050856,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-89
63,DC:A6:32:33:B0:C2,2020-06-27 16:19:31.077208,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
64,DC:A6:32:33:B0:C2,2020-06-27 16:19:32.711266,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-90
65,DC:A6:32:33:B0:C2,2020-06-27 16:19:33.198637,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
66,DC:A6:32:33:B0:C2,2020-06-27 16:19:34.018630,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
67,DC:A6:32:33:B0:C2,2020-06-27 16:19:36.023797,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-88
68,DC:A6:32:33:B0:C2,2020-06-27 16:19:37.540050,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
69,DC:A6:32:33:B0:C2,2020-06-27 16:19:38.298876,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
70,DC:A6:32:33:B0:C2,2020-06-27 16:19:39.211489,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
71,DC:A6:32:33:B0:C2,2020-06-27 16:19:41.216736,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-86
72,DC:A6:32:33:B0:C2,2020-06-27 16:19:42.609168,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
73,DC:A6:32:33:B0:C2,2020-06-27 16:19:43.017903,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
74,DC:A6:32:33:B0:C2,2020-06-27 16:19:44.409434,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
75,DC:A6:32:33:B0:C2,2020-06-27 16:19:45.294391,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
76,DC:A6:32:33:B0:C2,2020-06-27 16:19:47.019322,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
77,DC:A6:32:33:B0:C2,2020-06-27 16:19:49.024772,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
78,DC:A6:32:33:B0:C2,2020-06-27 16:19:50.754174,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
79,DC:A6:32:33:B0:C2,2020-06-27 16:19:52.032341,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
80,DC:A6:32:33:B0:C2,2020-06-27 16:19:53.123533,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
81,DC:A6:32:33:B0:C2,2020-06-27 16:19:54.483616,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
82,DC:A6:32:33:B0:C2,2020-06-27 16:19:55.041107,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-71
83,DC:A6:32:33:B0:C2,2020-06-27 16:19:56.375154,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-87
84,DC:A6:32:33:B0:C2,2020-06-27 16:19:57.293903,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-86
85,DC:A6:32:33:B0:C2,2020-06-27 16:19:58.210128,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
86,DC:A6:32:33:B0:C2,2020-06-27 16:19:59.420339,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-89
87,DC:A6:32:33:B0:C2,2020-06-27 16:20:00.184005,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-72
88,DC:A6:32:33:B0:C2,2020-06-27 16:20:01.860352,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-89
89,DC:A6:32:33:B0:C2,2020-06-27 16:20:02.025900,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-88
90,DC:A6:32:33:B0:C2,2020-06-27 16:20:03.384355,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-88
91,DC:A6:32:33:B0:C2,2020-06-27 16:20:04.740588,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
92,DC:A6:32:33:B0:C2,2020-06-27 16:20:05.011705,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-85
93,DC:A6:32:33:B0:C2,2020-06-27 16:20:06.430809,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-84
94,DC:A6:32:33:B0:C2,2020-06-27 16:20:08.435797,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
95,DC:A6:32:33:B0:C2,2020-06-27 16:20:09.290935,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-75
96,DC:A6:32:33:B0:C2,2020-06-27 16:20:11.296072,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
97,DC:A6:32:33:B0:C2,2020-06-27 16:20:12.102261,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-73
98,DC:A6:32:33:B0:C2,2020-06-27 16:20:13.851143,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-87
99,DC:A6:32:33:B0:C2,2020-06-27 16:20:14.041020,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-75
100,DC:A6:32:33:B0:C2,2020-06-27 16:20:15.676212,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-87
101,DC:A6:32:33:B0:C2,2020-06-27 16:20:17.016261,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
102,DC:A6:32:33:B0:C2,2020-06-27 16:20:18.141489,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-75
103,DC:A6:32:33:B0:C2,2020-06-27 16:20:20.146487,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
104,DC:A6:32:33:B0:C2,2020-06-27 16:20:22.006474,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
105,DC:A6:32:33:B0:C2,2020-06-27 16:20:24.011871,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-87
106,DC:A6:32:33:B0:C2,2020-06-27 16:20:26.016885,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-74
107,DC:A6:32:33:B0:C2,2020-06-27 16:20:27.202090,4c87ba00-b8b3-11ea-b443-dca63233b0c1,1,1,1,-67
