SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:C2,2020-07-20 11:58:59.522760,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-69
1,DC:A6:32:33:B0:C2,2020-07-20 11:59:00.977076,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-73
2,DC:A6:32:33:B0:C2,2020-07-20 11:59:01.018646,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-73
3,DC:A6:32:33:B0:C2,2020-07-20 11:59:03.024515,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
4,DC:A6:32:33:B0:C2,2020-07-20 11:59:05.029558,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
5,DC:A6:32:33:B0:C2,2020-07-20 11:59:06.848151,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
6,DC:A6:32:33:B0:C2,2020-07-20 11:59:07.489526,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-72
7,DC:A6:32:33:B0:C2,2020-07-20 11:59:08.010592,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-69
8,DC:A6:32:33:B0:C2,2020-07-20 11:59:09.735659,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
9,DC:A6:32:33:B0:C2,2020-07-20 11:59:10.187160,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
10,DC:A6:32:33:B0:C2,2020-07-20 11:59:12.191333,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
11,DC:A6:32:33:B0:C2,2020-07-20 11:59:14.195804,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
12,DC:A6:32:33:B0:C2,2020-07-20 11:59:16.183315,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
13,DC:A6:32:33:B0:C2,2020-07-20 11:59:17.493286,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
14,DC:A6:32:33:B0:C2,2020-07-20 11:59:18.065018,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
15,DC:A6:32:33:B0:C2,2020-07-20 11:59:19.668333,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
16,DC:A6:32:33:B0:C2,2020-07-20 11:59:20.275679,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
17,DC:A6:32:33:B0:C2,2020-07-20 11:59:21.940676,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
18,DC:A6:32:33:B0:C2,2020-07-20 11:59:22.140588,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
19,DC:A6:32:33:B0:C2,2020-07-20 11:59:24.145845,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
20,DC:A6:32:33:B0:C2,2020-07-20 11:59:25.747145,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
21,DC:A6:32:33:B0:C2,2020-07-20 11:59:26.055609,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
22,DC:A6:32:33:B0:C2,2020-07-20 11:59:28.060758,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
23,DC:A6:32:33:B0:C2,2020-07-20 11:59:29.248348,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-73
24,DC:A6:32:33:B0:C2,2020-07-20 11:59:30.010703,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
25,DC:A6:32:33:B0:C2,2020-07-20 11:59:31.857162,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-72
26,DC:A6:32:33:B0:C2,2020-07-20 11:59:32.138140,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
27,DC:A6:32:33:B0:C2,2020-07-20 11:59:33.800794,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
28,DC:A6:32:33:B0:C2,2020-07-20 11:59:34.867164,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-72
29,DC:A6:32:33:B0:C2,2020-07-20 11:59:35.018155,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-67
30,DC:A6:32:33:B0:C2,2020-07-20 11:59:36.527051,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
31,DC:A6:32:33:B0:C2,2020-07-20 11:59:37.554539,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
32,DC:A6:32:33:B0:C2,2020-07-20 11:59:38.501601,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
33,DC:A6:32:33:B0:C2,2020-07-20 11:59:39.415703,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-70
34,DC:A6:32:33:B0:C2,2020-07-20 11:59:40.029494,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-68
35,DC:A6:32:33:B0:C2,2020-07-20 11:59:41.398199,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
36,DC:A6:32:33:B0:C2,2020-07-20 11:59:43.403278,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
37,DC:A6:32:33:B0:C2,2020-07-20 11:59:45.365918,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-72
38,DC:A6:32:33:B0:C2,2020-07-20 11:59:47.372174,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-74
39,DC:A6:32:33:B0:C2,2020-07-20 11:59:49.377235,e97daa68-caa1-11ea-b914-dca63233b0c1,1,1,1,-71
